County,FIPS,Value (Percent),People (Black)
California,6000,5.5,2173343
United States,0,12.4,41070890
Alpine County,6003,0.0,0
Mono County,6051,0.1,12
Nevada County,6057,0.3,314
Sierra County,6091,0.3,8
Glenn County,6021,0.6,158
Modoc County,6049,0.8,72
El Dorado County,6017,0.9,1644
Mendocino County,6045,0.9,858
Shasta County,6089,0.9,1614
Tehama County,6103,0.9,571
Trinity County,6105,0.9,147
Inyo County,6027,1.0,182
San Benito County,6069,1.0,683
Santa Cruz County,6087,1.0,2545
San Luis Obispo County,6079,1.1,3189
Calaveras County,6009,1.2,529
Humboldt County,6023,1.3,1721
Mariposa County,6043,1.3,224
Colusa County,6011,1.4,311
Plumas County,6063,1.4,266
Tulare County,6107,1.5,7136
Orange County,6059,1.6,51952
Sonoma County,6097,1.6,7546
Placer County,6061,1.7,6816
Santa Barbara County,6083,1.7,7468
Siskiyou County,6093,1.7,736
Sutter County,6101,1.7,1714
Tuolumne County,6109,1.7,950
Butte County,6007,1.8,3712
Ventura County,6111,1.8,15452
Napa County,6055,1.9,2625
Amador County,6005,2.0,825
Lake County,6033,2.2,1478
Monterey County,6053,2.2,9533
San Mateo County,6081,2.2,16534
Marin County,6041,2.3,6070
Santa Clara County,6085,2.4,45325
Imperial County,6025,2.5,4460
Madera County,6039,2.6,4089
Yolo County,6113,2.7,5876
Stanislaus County,6099,2.8,15674
Del Norte County,6015,2.9,805
Merced County,6047,2.9,8250
Yuba County,6115,3.7,3075
Fresno County,6019,4.4,44392
San Diego County,6073,4.7,154596
San Francisco County,6075,5.1,42547
Kern County,6029,5.2,46946
Kings County,6031,6.4,9782
Riverside County,6065,6.5,158667
San Joaquin County,6077,7.0,55048
Los Angeles County,6037,7.8,769139
San Bernardino County,6071,8.0,175250
Lassen County,6035,8.3,2576
Contra Costa County,6013,8.5,98346
Sacramento County,6067,9.5,150943
Alameda County,6001,9.9,163859
Solano County,6095,12.9,58103
