County,FIPS,Value (Percent),People (AI/AN)
United States,0,0.9,2924996
California,6000,1.1,445219
Nevada County,6057,0.5,505
Placer County,6061,0.5,2033
El Dorado County,6017,0.6,1189
Marin County,6041,0.6,1530
San Francisco County,6075,0.7,5524
Monterey County,6053,0.8,3510
Orange County,6059,0.8,23889
Santa Clara County,6085,0.8,14579
Solano County,6095,0.8,3465
Alameda County,6001,0.9,14764
Contra Costa County,6013,0.9,9941
Napa County,6055,0.9,1272
Sacramento County,6067,0.9,13876
San Diego County,6073,0.9,31001
San Luis Obispo County,6079,0.9,2618
Yolo County,6113,0.9,2052
Santa Cruz County,6087,1.0,2641
San Mateo County,6081,1.1,7988
Amador County,6005,1.2,492
Butte County,6007,1.2,2586
Kern County,6029,1.2,10938
Riverside County,6065,1.2,29471
San Joaquin County,6077,1.2,9585
Stanislaus County,6099,1.2,6436
Los Angeles County,6037,1.3,125310
San Bernardino County,6071,1.3,28315
Sonoma County,6097,1.3,6186
Colusa County,6011,1.4,308
Fresno County,6019,1.4,14036
Merced County,6047,1.4,4120
Sierra County,6091,1.4,37
Calaveras County,6009,1.5,676
Glenn County,6021,1.5,439
Tulare County,6107,1.5,7168
Ventura County,6111,1.5,12274
Imperial County,6025,1.6,2857
Mono County,6051,1.6,211
Sutter County,6101,1.6,1601
Yuba County,6115,1.6,1335
Plumas County,6063,1.7,341
Shasta County,6089,1.7,3133
Mariposa County,6043,1.8,305
Santa Barbara County,6083,1.8,7941
Tuolumne County,6109,1.8,968
Kings County,6031,1.9,2931
Madera County,6039,1.9,3050
San Benito County,6069,1.9,1229
Tehama County,6103,1.9,1226
Trinity County,6105,2.2,344
Modoc County,6049,2.5,212
Lassen County,6035,2.7,844
Lake County,6033,2.8,1916
Siskiyou County,6093,3.2,1420
Mendocino County,6045,3.5,3195
Humboldt County,6023,3.8,5089
Del Norte County,6015,7.0,1911
Inyo County,6027,10.4,1948
Alpine County,6003,27.0,458
