County,FIPS,Value (Percent),People (Hispanic)
United States,0,19.0,63131589
California,6000,39.8,15630830
Trinity County,6105,5.9,936
Sierra County,6091,9.6,262
Plumas County,6063,10.0,1965
Nevada County,6057,10.5,10723
Shasta County,6089,11.3,20604
Siskiyou County,6093,13.1,5757
Tuolumne County,6109,13.2,7250
Mariposa County,6043,13.7,2341
Humboldt County,6023,13.8,18744
Calaveras County,6009,13.9,6403
El Dorado County,6017,14.2,27230
Alpine County,6003,14.7,249
Modoc County,6049,15.3,1321
Placer County,6061,15.4,63412
Amador County,6005,15.5,6361
San Francisco County,6075,15.9,133266
Marin County,6041,19.0,49128
Butte County,6007,19.5,40829
Del Norte County,6015,19.6,5350
Lassen County,6035,22.5,7027
Alameda County,6001,23.3,385245
Inyo County,6027,23.8,4469
Lake County,6033,23.8,16184
Sacramento County,6067,24.0,379734
San Luis Obispo County,6079,24.5,68980
San Mateo County,6081,24.9,185378
Santa Clara County,6085,25.1,477632
Mono County,6051,26.7,3513
Mendocino County,6045,26.9,24440
Contra Costa County,6013,27.3,316799
Tehama County,6103,28.2,18458
Solano County,6095,29.0,130628
Sonoma County,6097,29.4,142986
Yuba County,6115,30.0,24887
Sutter County,6101,32.4,32061
Yolo County,6113,33.2,72347
Orange County,6059,34.1,1080480
San Diego County,6073,34.3,1127221
Santa Cruz County,6087,35.0,93116
Napa County,6055,35.9,48801
San Joaquin County,6077,42.2,332543
Ventura County,6111,43.8,367516
Glenn County,6021,44.1,12632
Santa Barbara County,6083,47.6,211412
Los Angeles County,6037,48.3,4753369
Stanislaus County,6099,49.2,271787
Riverside County,6065,50.6,1239702
Fresno County,6019,54.1,547669
San Bernardino County,6071,54.6,1193691
Kern County,6029,55.7,507456
Kings County,6031,57.5,87860
Madera County,6039,60.4,95835
Monterey County,6053,61.0,265748
San Benito County,6069,61.7,40783
Colusa County,6011,62.3,13639
Merced County,6047,62.7,178961
Tulare County,6107,66.1,314250
Imperial County,6025,85.6,153460
