County,FIPS,Value (Percent),People (White)
California,6000,44.0,17248779
United States,0,63.4,210875446
Imperial County,6025,30.4,54559
Alameda County,6001,32.0,528396
Santa Clara County,6085,33.2,631965
Los Angeles County,6037,35.4,3489206
Merced County,6047,36.0,102852
Monterey County,6053,36.5,159097
San Joaquin County,6077,37.1,292062
San Bernardino County,6071,39.1,855655
San Francisco County,6075,40.5,338640
San Mateo County,6081,40.7,303184
Fresno County,6019,41.8,423296
Riverside County,6065,42.2,1033132
Tulare County,6107,42.6,202844
Solano County,6095,42.7,192705
Contra Costa County,6013,43.5,505202
Madera County,6039,44.1,70067
San Benito County,6069,45.1,29824
Kings County,6031,46.0,70362
Orange County,6059,46.4,1468454
Sacramento County,6067,47.2,747022
Kern County,6029,49.2,448046
Stanislaus County,6099,50.1,276614
Sutter County,6101,50.3,49812
Colusa County,6011,51.2,11210
San Diego County,6073,53.0,1740220
Santa Barbara County,6083,54.3,240915
Yolo County,6113,54.8,119349
Ventura County,6111,58.6,491174
Glenn County,6021,59.8,17120
Napa County,6055,60.1,81711
Yuba County,6115,60.5,50228
Santa Cruz County,6087,62.8,167132
Alpine County,6003,63.5,1076
Sonoma County,6097,64.5,313481
Inyo County,6027,64.6,12154
Del Norte County,6015,67.1,18316
Mendocino County,6045,68.3,61962
Lassen County,6035,68.9,21468
Lake County,6033,69.2,47171
Tehama County,6103,69.3,45414
Marin County,6041,70.4,182267
San Luis Obispo County,6079,72.4,203738
Placer County,6061,72.5,299005
Butte County,6007,72.6,152117
Humboldt County,6023,73.6,99692
Mono County,6051,74.1,9755
Amador County,6005,77.8,31903
Siskiyou County,6093,79.4,34820
Mariposa County,6043,79.7,13594
El Dorado County,6017,79.9,153632
Shasta County,6089,80.2,145566
Trinity County,6105,80.5,12782
Modoc County,6049,80.7,6974
Calaveras County,6009,80.8,37159
Tuolumne County,6109,82.6,45309
Nevada County,6057,85.7,87829
Plumas County,6063,87.1,17071
Sierra County,6091,90.4,2469
