County,"Imprisonments per 1,000 annual adult felony arrests","County imprisonment rate as percent of state average (=100%), arrest based","County imprisonments if rate equalled state average, projected (number)",County actual imprisonments minus projected imprisonments at average state rate (number),Total imprisonment costs (millions of dollars),Costs added (saved) from excessive (lower) imprisonments (millions of dollars/year),Total imprisonment costs per adult felony arrest (actual dollars),Total imprisonment costs per adult felony arrest versus state average (actual dollars),"Men imprisoned per 1,000 male felony arrests","Women imprisoned per 1,000 female felony arrests","Imprisonments for violent offenses per 1,000 violent felony arrests","Imprisonments for property offenses per 1,000 property felony arrests","Imprisonments for drug offenses per 1,000 drug felony arrests","Total adult imprisonments per 100,000/population age 18-69","Men imprisoned per 100,000 males age 18-69","Women imprisoned per 100,000 females age 18-69","Imprisonments for violent offenses per 100,000 population","Imprisonments for property offenses per 100,000 population","Imprisonments for drug offenses per 100,000 population","Imprisonments for drug possession offenses per 100,000 population","Imprisonments for marijuana offenses per 100,000 population","Imprisonments for strike offenses per 100,000 population","Imprisonments for 3rd strikes per 100,000 population","Imprisonments for 2nd strikes per 100,000 population","New felon and parole violator admissions per 1,000 adult felony arrests","New felon and parole violator admissions per 1,000 felonies as a percent of the state average (=100%)","White, not Latino, new felon and parole violator admissions per 1,000 white felony arrests","Latino new felon and parole violator admissions per 1,000 latino felony arrests","Black new felon and parole violator admissions per 1,000 black felony arrests","Asian/other new felon and parole violator admissions per 1,000 asian/other felony arrests","New felon and parole violator admissions per 100,000 population, all races","White, not Latino, new felon and parole violator admissions per 100,000 whites","Latino new felon and parole violator admissions per 100,000 Latinos","Black new felon and parole violator admissions per 100,000 African Americans","Asian/other new felon and parole violator admissions per 100,000 Asian/other population",Percent of jail population that is unsentenced,"County jail populations per 1,000 adult felony arrests","County jail incarceration rate per 1,000 felony arrests as a percent of the state average (=100%)","Men jailed per 1,000 male felony arrests","Women jailed per 1,000 female felony arrests","County jail populations per 100,000 population age 18-69","Men jailed per 100,000 males age 18-69","Women jailed per 100,000 females age 18-69",Total adult population incarcerated,"Total adult incarceration rate per 1,000 adult felony arrests",Total adult incarceration rate as a percent of the state average (=100%),"Total adult male incarceration rate per 1,000 adult male felony arrests","Total adult female incarceration rate per 1,000 adult female felony arrests","Total adult male incarceration rate per 100,000 males age 18-69","Total adult female incarceration rate per 100,000 females age 18-69",Percent of incarcerated adult population held locally,"Total incarcerated (state prison + local jails), adult males","Total incarcerated (state prison + local jails), adult females","Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 5-year average",Adult poverty rate as percent of state adult poverty rate
Alameda,284.0525328330206,0.6801073710333561,6678.3572615877965,-2136.3572615877965,213.937284,-100.62669973530839,13379.442401500939,-6293.101922158123,339.68130586863583,55.04,927.802037845706,174.77816617370263,92.36725663716814,433.6017222259944,870.9134796181538,34.81566883603374,304.24673904320656,62.05220595484289,47.82793105134813,8.973703630392663,3.723132357290573,56.51523988502614,12.601371055445018,43.91386882958112,83.11444652908068,0.5260162164961536,58.05299196189344,78.10615199034987,98.88475836431226,61.84738955823287,126.87289494459415,50.432959227585386,120.20187297119267,607.5505564616122,24.519543630468252,0.8283118125298901,261.53846153846155,1.4012593842516343,296.85192382432956,116.16,399.2343466202353,761.102649579343,73.47725457837352,8724.0,545.5909943714822,0.9028424555055902,636.5332296929654,171.2,1632.0161291974969,108.29292341440727,0.4793672627235213,8189.0,535.0,278824.2651657285,69974.98436522826,208849.2808005003,1526.4842664891348,327.9220422382851,355.03408299393953,517.8017924601044,2563.913481759164,632.552122747706,868.7400515151758,1538.9552539477786,6144.02630406668,396.45236129783126,0.10808363413811624,0.869510509142086
Alpine,200.0,0.4788602757738161,6.264875479913506,-3.2648754799135062,0.141306,-0.153782164854886,9420.4,-10252.144323659062,200.0,0.0,250.0,0.0,0.0,363.40126872972365,632.8190210526514,0.0,242.26751248648242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,0.42192120901798325,90.90909090909088,****,****,0.0,121.13375624324121,161.03596568963275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,200.0,0.3309594420801097,200.0,0.0,632.8190210526514,0.0,0.0,3.0,0.0,346666.66666666674,86666.66666666669,260000.00000000006,1817.006343648618,969.0700499459297,363.40126872972365,242.26751248648242,3164.0951052632568,0.0,1771.3956225859608,0.0,0.0,2555.5852276248406,0.14342629482071714,1.1538349133834764
Amador,508.00915331807784,1.216327016267588,182.5167056481468,39.4832943518532,10.456644,1.8597421305609896,23928.2471395881,4255.7028159290385,641.2698412698413,163.93442622950818,1172.4137931034481,820.0,500.0,853.8319016749002,1491.7121504580787,150.0086745723325,392.301144012792,157.68967553455366,192.30448235921176,111.53659976834281,7.69217929436847,230.7653788310541,46.15307576621082,184.61230306484327,178.48970251716247,1.1296288662495202,188.44984802431608,89.2857142857143,249.99999999999991,178.57142857142858,299.99499248037034,301.8762036068923,155.89119619039454,606.2037767381936,395.23123420356313,0.4878048780487805,187.6430205949657,1.0053456074924232,200.0,155.7377049180328,315.3793510691073,465.2369578161335,142.50824084371587,304.0,695.6521739130435,1.1511632768003817,841.2698412698413,319.672131147541,1956.9491082742124,292.51691541604833,0.26973684210526316,265.0,39.0,147368.42105263172,24485.125858123596,122883.29519450813,1680.7411758195108,334.60979930502845,192.30448235921176,384.6089647184235,2326.1847890806675,915.0529148912283,1601.8914675268968,1745.9813973324187,2424.815106952775,2213.2949115399533,0.08854038641168084,0.7122891183514328
Butte,704.5918367346939,1.6870052062337757,818.6103960420313,562.3896039579687,65.047862,26.489675125628242,33187.68469387755,13515.140370218487,853.5422343324251,260.1626016260163,1227.1062271062272,566.5322580645161,562.862669245648,914.9686382175393,1693.3668391428114,175.6963218793376,443.9022357753448,186.17392276548046,192.79932926959006,104.01888211452112,20.538760162739838,103.35634146411016,27.164166666849464,76.19217479726069,224.48979591836735,1.420755091591168,181.99356913183271,380.48780487804873,358.7786259541983,463.768115942029,291.5178861808235,240.57091834075598,415.10304501244184,2081.73498951745,261.2445616083507,0.7164461247637051,269.8979591836735,1.4460475368395094,308.58310626702996,154.47154471544715,350.48400406739916,612.2068460747754,104.31969111585671,1910.0,974.4897959183673,1.6125829958495141,1162.1253405994548,414.6341463414634,2305.573685217587,280.01601299519433,0.2769633507853403,1706.0,204.0,230153.06122448962,47551.020408163226,182602.0408163264,1298.5796748054865,361.7471951243855,328.6201626038374,342.53351626246763,1983.928587279846,675.3327372237039,1321.8649399995606,1090.9759516352642,5802.28263035715,563.3085859680061,0.1995118390101098,1.6050315304523675
Calaveras,267.8983833718245,0.641429468703957,180.84607218683652,-64.84607218683652,5.463832,-3.0543796921443738,12618.549653579676,-7053.994670079386,328.1733746130031,90.9090909090909,278.9473684210526,338.7096774193548,242.99065420560748,388.61296532753346,682.1704963676855,65.36417551675017,177.55592381344204,70.35234717136383,87.10290602168854,70.35234717136383,3.3501117700649443,36.85122947071438,0.0,36.85122947071438,110.85450346420323,0.7015779919005726,109.33333333333339,125.0,142.85714285714286,90.9090909090909,160.80536496311728,160.9366768252663,188.3643470602276,453.755521139639,66.70763574191375,0.6891891891891891,170.90069284064666,0.9156442926572967,198.14241486068113,90.9090909090909,247.90827098480585,411.87652610879127,65.36417551675017,190.0,438.7990762124711,0.7261234872427349,526.3157894736842,181.8181818181818,1094.0470224764767,130.72835103350033,0.3894736842105263,170.0,20.0,140184.7575057737,19399.53810623557,120785.21939953815,1450.5983964381207,636.5212363123394,207.7069297440265,358.461959396949,2078.6893427053055,719.0059306842518,1471.9818002310935,1506.9147764818208,3176.288647977473,733.7839931610512,0.08528908779973074,0.686133092658985
Colusa,335.9375,0.8043356194638318,106.92054152385715,-20.920541523857153,4.050772,-0.9853993468567196,15823.328125000002,-3849.21619865906,408.16326530612247,100.0,1019.6078431372548,318.1818181818182,500.0,654.9595233787603,1158.5399529123051,88.25208996386479,396.0220373918085,106.62131775933308,99.00550934795213,38.07904205690467,30.463233645523736,53.31065887966654,22.8474252341428,30.463233645523736,136.71875,0.8652681044314109,129.03225806451616,144.14414414414415,214.28571428571422,0.0,266.5532943983327,281.2083894212474,234.91537266115103,3436.298515933134,0.0,0.5384615384615384,152.34375,0.8162207121042953,173.46938775510205,83.33333333333333,297.0165280438564,492.37947998772967,73.54340830322066,125.0,488.28125,0.8080064503908928,581.6326530612245,183.33333333333331,1650.919432900035,161.79549826708543,0.312,114.0,11.0,160546.87499999994,23046.87499999999,137499.99999999994,1949.6469533135191,388.4062289804276,335.0955701007611,198.01101869590426,2838.4228846351475,882.520899638648,2179.3650180146674,1629.7253978367353,16036.059741021294,1290.120160945397,0.1183196821020193,0.9518574004884921
Contra Costa,187.72353794103432,0.4494667257384007,4320.67578931368,-2378.67578931368,91.472084,-112.04038702825297,8842.154084098598,-10830.390239560464,233.71456986573844,26.944806605823555,568.1265206812652,102.6578073089701,41.46962531829757,280.7163904784327,547.2239325625952,18.32954326571678,202.51475955730393,44.665996219276884,16.478717051772055,2.168252243654218,0.2891002991538957,46.545148163777206,12.575863013194462,33.96928515058274,50.36249395843403,0.3187350651015504,34.00664791613398,51.27081507449607,66.94796061884668,55.276381909547766,75.31062792958983,37.52066379920686,77.31222122011056,380.3613228813763,26.73719067256776,0.7751724137931034,140.1643305944901,0.750966348993356,154.27647936350075,90.83007388092133,209.59771688657435,361.2260108032876,61.788299073142056,3392.0,327.88786853552443,0.5425879301767677,387.99104922923914,117.77488048674489,908.4499433658827,80.11784233885884,0.42747641509433965,3121.0,271.0,232962.78395360083,41150.31416143065,191812.46979217016,1495.3712973735255,356.4606688567534,435.095950226613,397.3683611870296,2341.41984762421,680.2625653937793,1103.3332038999852,1507.9187078999335,5681.447490938205,483.7000858037256,0.08506774974183849,0.6843524737064017
Del Norte,381.9951338199513,0.9146114756263884,171.65758814963004,-14.657588149630044,7.395014,-0.6904017170238743,17992.73479318735,-1679.8095304717135,477.4193548387097,89.10891089108911,715.3284671532847,278.35051546391753,202.7027027027027,796.9591858146489,1453.0691461548085,89.74697013030598,497.4649694893987,137.0566752674874,76.14259737082634,20.304692632220355,0.0,91.3711168449916,25.380865790275447,65.99025105471615,97.32360097323601,0.6159433708291726,84.30232558139534,260.8695652173913,142.85714285714286,108.10810810810808,203.04692632220357,225.2150255576243,167.33257877931655,92.33680338728917,185.64662651336957,0.5739130434782609,279.8053527980535,1.499128939069839,303.2258064516129,207.9207920792079,583.7599131763352,922.8952685037297,209.40959697071395,272.0,661.8004866180048,1.0951455990971999,780.6451612903226,297.029702970297,2375.9644146585383,299.1565671010199,0.4227941176470588,242.0,30.0,123114.35523114353,26277.37226277372,96836.9829683698,2086.307167960642,695.4357226535473,492.3887963313436,375.6368136960766,3043.5907791080444,1007.1604425734338,2671.516165235268,641.44155198738,646.3576237110242,1717.2312952486689,0.21115800580321814,1.6987225364828369
El Dorado,241.89261031366294,0.5791638104122444,785.6153851811536,-330.61538518115356,21.43141,-15.572645872802696,11393.625730994152,-8278.91859266491,297.79673063255154,75.9493670886076,516.1904761904761,247.02380952380955,138.02083333333334,379.41816256753276,683.0163591633569,59.60357425479868,225.98312539736565,69.21254394089058,44.19596179358074,14.176063216808917,0.833886071576995,70.0464300124676,14.176063216808917,55.870366795658676,85.06113769271664,0.5383364708363423,76.97283311772316,110.09174311926607,93.75000000000001,207.5471698113207,133.4217714523192,120.58096617508986,190.30981887902885,707.9233335408665,141.51517284061697,0.554016620498615,191.91919191919192,1.0282562920681928,219.61620469083158,109.70464135021098,301.03287183929524,503.7041884999458,86.09405170137588,816.0,433.81180223285486,0.7178705601737627,517.4129353233831,185.65400843881858,1186.7205476633028,145.69762595617456,0.4424019607843137,728.0,88.0,119936.20414673048,27644.86975013291,92291.33439659757,1568.5397006363278,437.79018757792244,280.1857200498704,320.2122514855661,2293.5656738492676,784.7803943548494,1566.5392748461254,1728.647521484512,7551.182224435906,681.8458327775184,0.07673371467447253,0.6173068832021698
Fresno,401.09806313863044,0.9603496456345405,5477.171802905714,-217.17180290571378,247.75652,-10.22922626046493,18892.52096995577,-780.0233537032909,467.43697478991595,138.15291445874337,728.9888802689424,403.6968576709797,245.9210916641946,903.6576456729917,1690.0567936213047,127.99534869176898,484.29865078938474,187.603450394469,142.4205681108194,86.07081377988001,4.123152755922396,167.84667677234086,33.67241417336623,134.17426259897462,170.80982156474,1.081024296401116,161.44656118824673,167.01345540296845,189.564384873145,194.71488178025032,384.82759055275693,235.0863378143434,439.9569289275419,1361.3703424431758,210.0854845686664,0.7375195007800313,195.51624218392558,1.047528411394098,215.3361344537815,116.95685087055261,440.4901527577092,778.5654891963313,108.35770615275784,7824.0,596.614305322556,0.9872756881328268,682.7731092436975,255.10976532929595,2468.622282817636,236.35305484452684,0.3277096114519427,7150.0,674.0,188843.98352905287,35793.80814396827,153050.1753850846,2252.959385048596,664.342987797996,464.7136751987534,579.1311641755999,3615.5821742190606,926.4759212154895,1456.1247764220427,2634.260382590242,7181.57233677726,1078.9390243205085,0.19428528587627802,1.5629849901718202
