County,"Imprisonments per 1,000 annual adult felony arrests","County imprisonment rate as percent of state average (=100%), arrest based","County imprisonments if rate equalled state average, projected (number)",County actual imprisonments minus projected imprisonments at average state rate (number),Total imprisonment costs (millions of dollars),Costs added (saved) from excessive (lower) imprisonments (millions of dollars/year),Total imprisonment costs per adult felony arrest (actual dollars),Total imprisonment costs per adult felony arrest versus state average (actual dollars),"Men imprisoned per 1,000 male felony arrests","Women imprisoned per 1,000 female felony arrests","Imprisonments for violent offenses per 1,000 violent felony arrests","Imprisonments for property offenses per 1,000 property felony arrests","Imprisonments for drug offenses per 1,000 drug felony arrests","Total adult imprisonments per 100,000/population age 18-69","Men imprisoned per 100,000 males","Women imprisoned per 100,000 females","Imprisonments for violent offenses per 100,000 population","Imprisonments for property offenses per 100,000 population","Imprisonments for drug offenses per 100,000 population","Imprisonments for drug possession offenses per 100,000 population","Imprisonments for marijuana offenses per 100,000 population","Imprisonments for strike offenses per 100,000 population","Imprisonments for 3rd strikes per 100,000 population","Imprisonments for 2nd strikes per 100,000 population",Change in imprisonment rates per adult felony arrest compared to 2009,"New felon and parole violator admissions per 1,000 adult felony arrests","New felon and parole violator admissions per 1,000 felonies as a percent of the state average (=100%)","White, not Latino, new felon and parole violator admissions per 1,000 white felony arrests","Latino new felon and parole violator admissions per 1,000 latino felony arrests","Black new felon and parole violator admissions per 1,000 black felony arrests","Asian/other new felon and parole violator admissions per 1,000 asian/other felony arrests","New felon and parole violator admissions per 100,000 population","White, not Latino, new felon and parole violator admissions per 100,000 whites","Latino new felon and parole violator admissions per 100,000 Latinos","Black new felon and parole violator admissions per 100,000 African Americans","Asian/other new felon and parole violator admissions per 100,000 Asian/other population",Percent of jail population that is unsentenced,"County jail populations per 1,000 adult felony arrests","County jail incarceration rate per 1,000 felony arrests as a percent of the state average (=100%)","Men jailed per 1,000 male felony arrests","Women jailed per 1,000 female felony arrests","County jail populations per 100,000 population age 18-69","Men jailed per 100,000 males age 18-69","Women jailed per 100,000 females age 18-69",Total adult population incarcerated,"Total adult incarceration rate per 1,000 adult felony arrests",Total adult incarceration rate as a percent of the state average (=100%),"Total adult male incarceration rate per 1,000 adult male felony arrests","Total adult female incarceration rate per 1,000 adult female felony arrests","Total adult male incarceration rate per 100,000 males age 18-69","Total adult female incarceration rate per 100,000 females age 18-69",Percent of incarcerated adult population held locally,"Total incarcerated (state prison + local jails), adult males","Total incarcerated (state prison + local jails), adult females","Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 5-year average",Adult poverty rate as percent of state adult poverty rate
Alameda,309.6009482418017,0.7833513384684121,5001.58716478403,-1083.5871647840304,203.301102,-56.22625439347855,16064.883603318845,-4443.007063886096,374.13280475718534,55.7504873294347,1105.0675675675677,113.30698287220025,47.74465840147718,367.04823112729036,717.4439252271434,25.9100803855601,306.4356212397567,32.22679721995607,16.956541560500142,2.904159051798367,0.8431429505221064,58.176863586025355,45.34235422807773,12.83450935794762,0.040617204048203126,78.94112998814698,0.581226974460121,33.73337658125204,76.63269158172896,107.06229394412641,64.65517241379311,93.58886750795382,27.5227947626678,89.05686950749,467.224221280544,22.757250098238043,0.7383598678281766,263.0580798103516,1.3731164227235904,304.3607532210109,100.58479532163743,311.8692091431214,583.6477600986907,46.74685831800354,7247.0,572.6590280521533,0.975895605604035,678.4935579781962,156.33528265107213,1301.091685325834,72.65693870356364,0.459362494825445,6846.0,401.0,2871.619075085783,706.9094913332307,2164.709583752552,1185.5526709841397,277.30034817171503,284.4202219761239,355.15054726992287,1917.6183325938748,464.75074258015144,815.8920793587,1162.126341504143,4364.040822106601,351.978801519415,0.11200257958777941,0.8534126318330688
Alpine,136.36363636363635,0.3450268407461281,8.694975711201002,-5.6949757112010015,0.155667,-0.29550659467850876,7075.772727272727,-13432.117939932214,150.0,0.0,250.0,0.0,250.0,383.95378553121105,730.1656290970293,0.0,255.96919035414072,0.0,127.98459517707036,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,****,****,0.0,0.0,0.0,0.0,****,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,136.36363636363635,0.23238378681308366,150.0,0.0,730.1656290970293,0.0,0.0,3.0,0.0,5229.936880072137,631.1992786293958,4598.737601442742,2815.6610938955478,1023.8767614165629,1023.8767614165629,511.93838070828144,4867.770860646862,564.5406350765752,3457.380342546459,0.0,****,709.9476482771761,0.176,1.3410461058613732
Amador,344.44444444444446,0.8715122421809608,177.85177591092958,-22.851775910929575,8.042795,-1.1857558002422246,17872.87777777778,-2635.012889427162,448.38709677419354,114.28571428571428,833.3333333333334,500.0,246.3768115942029,600.8481158864637,927.0534995087019,138.35997888971772,290.73295929990184,96.9109864333006,131.79894154928883,73.65234968930847,7.752878914664048,209.32773069592932,158.93401775061298,50.39371294531631,-0.22592592592592597,122.22222222222221,0.8998965741265836,117.14285714285718,142.85714285714286,444.4444444444444,57.14285714285714,213.20417015326132,203.15266397318933,234.10897638384068,455.91424532256235,151.46557691544126,0.6262626262626263,220.0,1.1483608989200207,267.741935483871,114.28571428571428,383.7675062758704,553.5643198505197,138.35997888971772,254.0,564.4444444444445,0.9618967412677865,716.1290322580645,228.57142857142856,1480.6178193592216,276.71995777943545,0.38976377952755903,222.0,32.0,1667.291120269764,262.27051330086175,1405.0206069689023,1744.3977557994108,348.87955115988217,193.8219728666012,534.9486451118194,2067.5293873935075,1210.64981528503,1734.2300583077133,1638.7628346868848,1025.8070519757653,2650.647596020222,0.11171757636454682,0.8512410269315119
Butte,547.3785473785474,1.3849754665576504,821.6752047084946,316.32479529150544,59.049682,16.413777302880927,28402.925444925444,7895.0347777205025,655.2162849872774,213.01775147928996,1085.8208955223881,463.20346320346323,342.14186369958276,757.6982571179136,1372.958499514121,146.31290134298618,387.5047325506377,142.48455801690113,163.79066015026956,82.56114576680254,13.98212952502301,109.19377343351303,81.229514383467,27.96425905004602,-0.11980214039710613,196.24819624819625,1.444934286673145,172.14111922141123,309.64467005076153,281.87919463087246,247.1910112359551,271.65280220044707,247.48647942274437,299.2732651752855,1848.6525435170702,166.82592816379778,0.7329931972789115,282.8282828282828,1.4763133686758758,335.2417302798982,120.3155818540434,391.4996267006443,702.4748827611086,82.63969427705702,1726.0,830.2068302068302,1.4147951183047,990.4580152671756,333.3333333333333,2075.4333822752296,228.95259562004324,0.3406720741599073,1557.0,169.0,1685.632678968128,261.14158770458357,1424.4910912635444,1384.230822977278,356.87721073392066,307.60684955050624,478.72148230912114,2095.4279235302893,686.8577868601296,1437.6953080247056,966.5054629431347,6558.314975810558,674.8867093899091,0.21290711700844392,1.62226284189969
Calaveras,256.53206650831356,0.6490766220212197,166.3902170188919,-58.39021701889189,5.604012,-3.029809970893281,13311.192399049882,-7196.69826815506,331.16883116883116,53.097345132743364,454.5454545454545,235.2941176470588,127.11864406779661,357.54407673574957,662.6448651850176,39.1473285610044,215.1885647020715,52.96949284974068,49.65889954663188,29.79533972797913,3.3105933031087926,46.34830624352309,43.0377129404143,3.3105933031087926,-0.034466042949246156,109.26365795724466,0.8044853847730634,115.49295774647887,73.17073170731707,0.0,166.66666666666666,152.28729194300445,160.99527153665142,101.20568433076657,0.0,129.19095806295655,0.4647887323943662,168.64608076009503,0.8803025677318232,185.06493506493507,123.89380530973452,235.05212452072425,370.3015423092745,91.34376664234361,179.0,425.1781472684085,0.7245663915042941,516.2337662337662,176.99115044247787,1032.946407494292,130.491095203348,0.39664804469273746,159.0,20.0,1815.4748677836542,266.65481534154037,1548.8200524421138,1393.7597806088015,473.4148423445573,225.12034461139788,390.65000976683746,2000.927632127308,737.2746878989163,1393.983448671006,1383.1443525204766,5723.763884134745,775.1457483777392,0.09146658737827994,0.6969369932958599
Colusa,292.77566539923953,0.7407800611203309,103.94448236572106,-26.944482365721058,3.995453,-1.3981222454748998,15191.83650190114,-5316.054165303802,346.15384615384613,90.9090909090909,1108.695652173913,326.0869565217391,100.0,568.459308126898,1033.885619086211,75.31745080739088,376.5120092788545,110.73882625848664,36.91294208616221,14.765176834464883,7.382588417232442,2340.280528262684,1705.3779243806941,634.90260388199,-0.4985597419057495,64.63878326996198,0.47592179689376873,38.46153846153847,85.7142857142857,142.8571428571429,71.4285714285714,125.5040030929515,87.018071578112,125.30845580984676,1955.553031611975,194.21162406554495,0.6551724137931034,220.53231939163499,1.1511395115340683,240.3846153846154,145.45454545454544,428.19012819948165,717.9761243654242,120.50792129182544,135.0,513.3079847908745,0.874752657585372,586.5384615384615,236.36363636363635,1751.861743451635,195.8253720992163,0.42962962962962964,122.0,13.0,1725.097384529772,208.6811352253756,1516.4162493043962,1941.6207537321325,339.5990671926923,339.5990671926923,369.1294208616221,2986.7806773601646,828.4919588812999,2262.469861030912,1461.9319844482125,13688.871221283824,2718.9627369176305,0.11648119567866136,0.8875378060849172
Contra Costa,187.4493927125506,0.4742838596275386,3904.8345466666315,-2052.8345466666315,96.098428,-106.51953179198485,9726.56153846154,-10781.329128743402,231.68676260858294,29.995385325334563,662.1560667568787,75.85703865791393,31.43149982917663,260.1226269312156,520.4241326894918,17.760173436971304,206.1879137878102,29.21463628601126,12.92185835727421,1.264094839298564,0.42136494643285466,0.9831848750099943,0.5618199285771396,0.42136494643285466,0.07744383276298161,53.84615384615385,0.3964579312585648,38.01020408163265,70.40816326530611,63.099738296016255,49.91087344028519,74.72205050075956,42.34638806055818,83.97024173118069,340.6873892775897,21.200363419756762,0.7083641746854182,136.74089068825913,0.7137631461358797,154.02567094515754,75.21919704660822,189.7546808769289,345.97866235876677,44.53705031117419,3203.0,324.19028340080973,0.5524681485010376,385.7124335537405,105.21458237194278,866.4027950482584,62.297223748145505,0.42179206993443646,2975.0,228.0,2267.4841584270384,370.17072334073424,1897.313435086304,1387.6952235855347,311.38869541387965,385.1275610396292,411.1117327363219,2246.2402548595687,592.0968590448741,1114.0794711234103,1192.6208245877838,5399.188625463739,424.7644242315553,0.09347528013986511,0.7122423887833356
Del Norte,223.0769230769231,0.5644285240923841,205.5176077192964,-89.5176077192964,6.019124,-4.644979146946571,11575.238461538462,-8932.65220566648,290.5759162303665,36.231884057971016,446.42857142857144,188.23529411764704,58.13953488372093,582.6190727382058,961.9881232787052,60.15391979644335,376.6933659945296,80.36125141216631,50.22578213260394,5.022578213260394,5.022578213260394,75.33867319890592,45.20320391934355,30.135469279562365,-0.41761133603238865,53.84615384615385,0.3964579312585648,42.352941176470594,83.33333333333331,153.84615384615387,103.44827586206897,140.63218997129104,140.1073076919036,53.803075269815835,188.14722282698068,262.86499310670234,0.5588235294117647,196.15384615384616,1.0238882140720464,219.8952879581152,130.43478260869566,512.3029777525602,727.9910122109121,216.55411126719602,218.0,419.2307692307692,0.7144311804843265,510.4712041884817,166.66666666666666,1689.9791354896172,276.7080310636394,0.46788990825688076,195.0,23.0,2394.8106591865358,561.0098176718093,1833.8008415147267,2611.740670895405,843.7931398277462,426.91914812713355,863.8834526807879,3310.625793625815,1660.2481863818364,3308.0892093921684,645.6369032377901,1222.9569483753744,2541.0282666981225,0.21201037440978918,1.6154300397980652
El Dorado,241.25452352231605,0.6104214311551925,655.2849876896026,-255.28498768960264,20.7556,-13.246482726225791,12518.455971049458,-7989.434696155484,299.35794542536115,65.53398058252426,524.0174672489082,220.58823529411765,130.0,326.16397198057433,597.023060064196,43.8561722733066,195.6983831883446,61.15574474635769,42.40131635747466,22.831478038640203,1.6308198599028716,67.67902418596918,53.00164544684333,14.677378739125844,0.01165551312685853,84.43908323281062,0.6217072504657832,81.35349172066238,118.88111888111885,65.5737704918033,92.3076923076923,114.15739019320102,113.8476561102208,123.23019311805643,453.1811213962099,68.93156446067155,0.43209876543209874,195.416164053076,1.0200376446158752,227.1268057784912,99.51456310679612,264.19281730426525,452.9692386009852,66.59640974835447,724.0,436.67068757539204,0.7441513784396456,526.4847512038523,165.0485436893204,1049.9922986651811,110.45258202166106,0.44751381215469616,656.0,68.0,1366.891821219578,214.69505045333685,1152.1967707662411,1351.9496638594806,373.4577479177576,277.23937618348816,326.16397198057433,1994.345128257341,669.212702837123,1399.4194189123596,1036.5833891695338,6911.012101292199,746.7586149906083,0.08524499581127569,0.6495310777095473
Fresno,266.4965139442231,0.6742886353575664,6348.913173851494,-2067.9131738514943,222.136809,-107.30194667798018,13828.237612051793,-6679.653055153149,310.65655404887764,75.05812022583859,758.7176602924635,244.95677233429393,111.60590036181465,717.2428793881217,1345.9473828798166,75.3498271163331,452.02552875242986,128.16883969444362,67.18392773525737,36.85901272258509,4.020983206100192,167.20588498699962,133.19506870206885,34.01081628493079,-0.402386694246354,101.53137450199202,0.7475542042966837,90.99639855942375,97.73084700067403,127.99999999999994,126.14678899082571,273.2593170478922,181.0128675969174,302.4489875419423,904.3879115284129,157.67408475650453,0.7093072673183171,146.476593625498,0.7645817851205429,156.5157435072397,102.95582862836267,394.2238951647396,678.1184964792764,103.35595754895249,6634.0,412.9731075697211,0.7037672003194708,467.17229755611737,178.01394885420126,2024.065879359093,178.7057846652856,0.3546879710581851,6098.0,536.0,3391.52728604566,616.0526134198192,2775.474672625841,2691.378092616395,595.7756783705117,523.2304396937874,601.9746941465828,4332.5896889593705,1003.8864134835353,1989.2311175228526,3094.71366333146,7065.530558815729,1249.9254718879265,0.20453655545376637,1.5584826772589329
