County,"Imprisonments per 1,000 annual adult felony arrests","County imprisonment rate as percent of state average (=100%), arrest based","County imprisonments if rate equalled state average, projected (number)",County actual imprisonments minus projected imprisonments at average state rate (number),Total imprisonment costs (millions of dollars),Costs added (saved) from excessive (lower) imprisonments (millions of dollars/year),Total imprisonment costs per adult felony arrest (actual dollars),Total imprisonment costs per adult felony arrest versus state average (actual dollars),"Men imprisoned per 1,000 male felony arrests","Women imprisoned per 1,000 female felony arrests","White, not Latino, imprisonments per 1,000 white felony arrests","Latino imprisonments per 1,000 latino felony arrests","Black imprisonments per 1,000 black felony arrests","Asian/other imprisonments per 1,000 asian/other felony arrests","Imprisonments for violent offenses per 1,000 violent felony arrests","Imprisonments for property offenses per 1,000 property felony arrests","Imprisonments for drug offenses per 1,000 drug felony arrests","Total adult imprisonments per 100,000/population age 18-69","Men imprisoned per 100,000 males","Women imprisoned per 100,000 females","White, not Latino, imprisonments per 100,000 whites","Latino imprisonments per 100,000 Latinos","Black imprisonments per 100,000 African Americans","Asian/other imprisonments per 100,000 asian/other population","Imprisonments for violent offenses per 100,000 population","Imprisonments for property offenses per 100,000 population","Imprisonments for drug offenses per 100,000 population","Imprisonments for drug possession offenses per 100,000 population","Imprisonments for marijuana offenses per 100,000 population","Imprisonments for strike offenses per 100,000 population","Imprisonments for 3rd strikes per 100,000 population","Imprisonments for 2nd strikes per 100,000 population",Change in imprisonment rates per adult felony arrest compared to 2009,"New felon and parole violator admissions per 1,000 adult felony arrests","New felon and parole violator admissions per 1,000 felonies as a percent of the state average (=100%)","Male new felon and parole violator admissions per 1,000 male felony arrests","Female new felon and parole violator admissions per 1,000 female felony arrests","White, not Latino, new felon and parole violator admissions per 1,000 white felony arrests","Latino new felon and parole violator admissions per 1,000 latino felony arrests","Black new felon and parole violator admissions per 1,000 black felony arrests","Asian/other new felon and parole violator admissions per 1,000 asian/other felony arrests","New felony and parole violator admissions for violent offenses per 1,000 violent felony arrests","New felony and parole violator admissions for propery offenses per 1,000 property felony arrests","New felony and parole violator admission for drug offenses per 1,000 drug felony arrests","New felon and parole violator admissions per 100,000 population","Male new felon and parole violator admissions per 100,000 male population","Female new felon and parole violator admissions per 100,000 female population","White, not Latino, new felon and parole violator admissions per 100,000 whites","Latino new felon and parole violator admissions per 100,000 Latinos","Black new felon and parole violator admissions per 100,000 African Americans","Asian/other new felon and parole violator admissions per 100,000 Asian/other population","New felony and parole violator admissions for violent offenses per 100,000 population","New felony and parole violator admissions for propery offenses per 100,000 population","New felony and parole violator admission for drug offenses per 100,000 population",Percent of jail population that is unsentenced,"County jail populations per 1,000 adult felony arrests","County jail incarceration rate per 1,000 felony arrests as a percent of the state average (=100%)","Men jailed per 1,000 male felony arrests","Women jailed per 1,000 female felony arrests","County jail populations per 100,000 population age 18-69","Men jailed per 100,000 males age 18-69","Women jailed per 100,000 females age 18-69",Total adult population incarcerated,"Total adult incarceration rate per 1,000 adult felony arrests",Total adult incarceration rate as a percent of the state average (=100%),"Total adult male incarceration rate per 1,000 adult male felony arrests","Total adult female incarceration rate per 1,000 adult female felony arrests","Total adult male incarceration rate per 100,000 males age 18-69","Total adult female incarceration rate per 100,000 females age 18-69",Percent of incarcerated adult population held locally,"Total incarcerated (state prison + local jails), adult males"
Alameda,292.05663546916236,0.897355057076831,4068.6236414527757,-417.6236414527757,218.764269,-25.02359097220887,17499.741540676743,-2001.7271396055366,355.3852359822509,49.129593810444824,102.91904905206138,222.6386806596703,452.96752519596834,250.0,1178.9137380191692,65.29209621993125,7.823613086770981,333.9647960308407,655.3852620146215,22.861051608373984,90.1352028042063,249.66899943257044,1836.049203395216,83.79449400345652,303.77898866568665,19.117677997930898,3.0185807365154056,0.4573607176538493,0.2744164305923096,57.62745042438501,12.165795089592391,45.461655334792624,62.84136260563889,54.955603551715846,0.6165147965754721,66.65994352561516,10.058027079303665,19.259705085765873,57.72113943028489,76.70772676371776,50.34722222222222,171.81398651047212,28.116213683223982,5.215742057847321,62.84136260563889,122.93123104190262,4.680215289903336,16.86740637271697,64.72899985288863,310.9255140483864,16.87528004236277,44.272517468892616,8.232492917769287,2.0123871576769368,0.7773798866010146,268.05855531557467,1.3588281439367649,307.0794675272287,118.37524177949697,306.5231529716098,566.3019644819872,55.08253379655464,7002.0,560.115190784737,1.0715074092080341,662.4647035094796,167.50483558994182,1221.6872264966087,77.94358540492863,0.47857754927163665,6569.0
Alpine,83.33333333333333,0.25604481805253054,3.905566250494624,-2.905566250494624,0.059919,-0.17409862416338737,4993.25,-14508.21868028228,83.33333333333333,****,0.0,0.0,****,1000.0,500.0,0.0,0.0,119.76047904191617,226.24434389140274,0.0,0.0,0.0,****,564.9717514124294,119.76047904191617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,****,0.0,0.0,****,0.0,0.0,****,0.0,0.0,0.0,0.0,0.0,0.0,****,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,****,0.0,0.0,0.0,1.0,83.33333333333333,0.15941771544451155,83.33333333333333,****,226.24434389140274,0.0,0.0,1.0
Amador,307.6923076923076,0.9453962512708819,165.01017408339789,-9.010174083397885,9.347364,-0.539880620903118,18436.615384615383,-1064.8532956668969,447.05882352941165,23.952095808383227,274.93261455525595,430.7692307692308,391.304347826087,354.16666666666674,1037.0370370370374,257.57575757575745,165.71428571428564,612.6055370115845,1038.9610389610389,36.91739732348869,519.1368078175896,809.2485549132947,1012.3734533183352,1158.0381471389644,329.8645199293147,66.75829569998037,113.88179854702533,70.68525427056744,7.85391714117416,208.12880424111523,43.196544276457885,164.93225996465736,239.5444728058119,120.31558185404337,1.3497501924767623,164.70588235294116,29.94011976047904,115.9029649595687,169.23076923076923,217.3913043478261,41.66666666666667,296.2962962962964,181.81818181818173,68.57142857142854,239.5444728058119,382.7751196172249,46.14674665436087,218.85179153094464,317.91907514450867,562.429696287964,136.23978201634876,94.24700569408994,47.12350284704497,47.12350284704497,0.45652173913043476,181.45956607495066,0.9198451624829362,211.7647058823529,119.76047904191616,361.2801884940114,492.1394395078605,184.58698661744347,248.0,489.1518737672583,0.935753690656541,658.8235294117646,143.71257485029938,1531.1004784688996,221.50438394093214,0.3709677419354839,224.0
Butte,350.2519798416126,1.0761624534130116,904.1385869895056,68.8614130104944,58.301187,4.126107006175814,20986.748380129586,1485.279699847306,443.159922928709,75.49857549857546,290.66059225512544,498.33887043189367,737.5,549.1803278688524,1070.2987697715291,233.7434094903338,115.79892280071812,639.9084529736342,1201.9858897308598,70.18659038840994,551.9938398179631,721.2578737317882,5346.6243769823295,497.4754974754975,400.51824035040414,87.46950076618022,84.83883908900187,42.74825225414822,5.261323354356705,94.70382037842069,27.6219476103727,67.08187276804797,224.26390797945453,122.75017998560114,1.377062525975345,147.8805394990366,48.43304843304841,105.6947608200456,149.5016611295681,237.5,213.11475409836063,251.31810193321624,100.17574692442876,61.04129263913823,224.26390797945453,401.0974653775803,45.02535987181015,200.72503266107753,216.37736211953646,1721.7942908926143,193.05019305019306,94.0461549591261,37.486928899791515,44.72124851203199,0.6264855687606112,212.0230381569474,1.0747758864531172,246.6281310211946,109.68660968660963,387.3649319645124,668.931277763261,101.96919735674652,1562.0,562.2750179985601,1.0756391858502248,689.7880539499037,185.1851851851851,1870.9171674941208,172.15578774515646,0.37708066581306016,1432.0
Calaveras,182.79569892473123,0.5616466976636155,181.60883064799998,-79.60883064799998,6.111738,-4.7700815235975105,10952.93548387097,-8548.53319641131,233.5766423357665,40.81632653061224,160.41666666666674,326.92307692307696,125.0,388.8888888888889,428.5714285714288,238.09523809523813,70.96774193548386,340.6244782100518,640.128025605121,40.13914905004014,308.7162216341913,554.2875774372351,389.10505836575874,416.91483025610484,190.34897311738186,83.48639171814995,36.734012355985975,16.69727834362999,3.3394556687259973,46.752379362163964,3.3394556687259973,43.41292369343797,143.5965937552179,77.0609318996416,0.8645015555022596,92.45742092457424,34.01360544217687,75.00000000000003,76.92307692307693,125.0,111.1111111111111,97.74436090225568,123.80952380952382,51.61290322580644,143.5965937552179,253.38401013536043,33.44929087503345,144.3348568679336,130.42060645582,389.10505836575874,119.11852293031568,43.41292369343797,43.41292369343797,26.71564534980798,0.5416666666666666,129.03225806451616,0.6540834465341498,153.28467153284674,61.22448979591835,240.44080814827183,420.08401680336067,60.208723575060205,174.0,311.82795698924735,0.5965308061794627,386.8613138686132,102.04081632653059,1060.2120424084817,100.34787262510035,0.41379310344827586,159.0
Colusa,194.69026548672565,0.5981932032377705,110.33224657647312,-44.332246576473125,3.954654,-2.6563438826156935,11665.646017699115,-7835.822662583165,253.01204819277106,33.33333333333333,187.49999999999994,247.86324786324786,138.88888888888889,76.9230769230769,827.5862068965517,192.3076923076923,43.478260869565204,475.0935790382954,880.2570909598994,44.543429844098,544.959128065395,379.82973149967256,4098.360655737704,317.46031746031747,345.5226029369421,71.98387561186294,14.396775122372588,7.198387561186294,0.0,57.58710048949035,14.396775122372588,43.190325367117765,165.56291390728478,67.84660766961652,0.7611314374230634,92.36947791164658,0.0,62.49999999999998,85.47008547008546,83.33333333333333,0.0,137.9310344827586,134.6153846153846,21.739130434782602,165.56291390728478,321.363699874249,0.0,181.65304268846504,130.97576948264572,2459.0163934426228,0.0,57.58710048949035,50.38871292830406,7.198387561186294,0.6521739130434783,203.53982300884957,1.0317732242894884,220.8835341365462,155.55555555555554,496.68874172185434,768.4784127427694,207.86933927245732,135.0,398.2300884955752,0.7618191711507633,473.8955823293173,188.88888888888886,1648.7355037026687,252.4127691165553,0.5111111111111111,118.0
Contra Costa,162.71403717608294,0.4999450325201142,3554.390751804312,-1777.390751804312,106.476063,-106.49947645736258,9749.662393553714,-9751.806286728566,201.0026815902998,22.610921501706514,98.05223550243467,168.04788213628,233.81696428571422,202.47295208655336,722.1431958274056,47.3996050032917,14.414923685698135,243.87298293575313,484.07929465940356,14.227500416087276,127.81562235821266,208.3321442229211,1268.7934349781217,93.02854058813922,209.01437985996174,19.762357649267557,6.999168334115593,1.2351473530792223,0.0,42.81844157341304,10.70461039335326,32.11383118005978,49.13141693359573,32.780880871715084,0.3677495431957495,39.40771831642769,8.532423208191139,21.912350597609553,43.278084714548825,39.06249999999999,38.63987635239568,104.31484115694631,23.370638578011878,6.783493499152064,49.13141693359573,94.90649744482508,5.368868081542368,28.56376210714007,53.652661799875574,211.97026360016352,17.75353828017924,30.192490853047655,9.7439402298472,3.293726274877926,0.7824104234527687,140.5548942404543,0.7124933798033043,160.66223621312827,66.97952218430044,210.66124299740068,386.9264895827484,42.14561444010759,3312.0,303.26893141653727,0.5801572825406716,361.66491780342807,89.59044368600695,871.005784242152,56.37311485619487,0.46346618357487923,3102.0
Del Norte,215.9863945578231,0.6636263651565587,191.37274627423662,-64.37274627423662,7.609713,-3.857150584005984,12941.688775510203,-6559.779904772076,300.24813895781625,32.432432432432435,180.40089086859686,437.5,909.090909090909,229.16666666666666,392.156862745098,182.9268292682926,51.42857142857142,640.2823292160323,1036.668951336532,73.5023888276369,642.7041180671268,378.5830178474851,967.1179883945842,880.0,403.327451474666,75.62389715149988,45.37433829089993,10.08318628686665,5.041593143433325,85.70708343836652,30.24955886059995,55.45752457776658,171.41416687673305,57.82312925170067,0.648683891432877,79.40446650124066,10.81081081081081,44.54342984409799,125.0,0.0,104.16666666666667,88.23529411764706,60.97560975609753,28.571428571428566,171.41416687673305,274.16038382453735,24.50079627587897,158.69237483138934,108.1665765278529,0.0,400.0,90.74867658179986,25.207965717166626,25.207965717166626,0.4691358024691358,137.75510204081633,0.6983008223840349,151.36476426799004,108.10810810810811,408.36904461809934,522.6182316655243,245.00796275878966,208.0,353.7414965986394,0.6767119349481306,451.61290322580635,140.54054054054055,1559.2871830020563,318.51035158642657,0.3894230769230769,182.0
El Dorado,207.16510903426797,0.6365226317941416,626.843383204387,-227.843383204387,23.907681,-13.652147678223665,12413.126168224302,-7088.342512057978,261.6690240452617,56.640625000000014,191.9446192573945,270.27027027027026,236.11111111111123,337.5,603.2482598607884,221.87499999999994,62.8019323671498,318.4738795546155,587.9361850886671,46.50939008548105,301.1721025762558,349.7726477789437,1861.9934282584884,306.6091301385419,207.52683880751886,56.670790597437836,31.12902582112783,12.770882388155007,0.7981801492596879,82.21255537374786,12.770882388155007,69.44167298559285,98.17615835894162,63.862928348909676,0.716440867448406,79.20792079207922,21.484375000000004,62.303335431088705,81.0810810810811,41.666666666666686,75.0,116.00928074245931,106.24999999999996,22.54428341384865,98.17615835894162,177.969872243056,17.641492791044538,97.75750214770271,104.93179433368311,328.58707557502737,68.1353622530093,39.9090074629844,27.13812507482939,11.17452208963563,0.5648414985590778,180.16614745586713,0.913288633744529,205.79915134370583,109.37500000000003,276.9685117931117,462.4038644886544,89.81123602713583,746.0,387.3312564901351,0.7409695683589138,467.46817538896755,166.01562500000003,1050.3400495773215,136.32062611261688,0.4651474530831099,661.0
Fresno,191.99514291051727,0.5899123372019159,6968.832046299248,-2857.832046299248,246.327009,-171.23843838220463,11504.156968055286,-7997.311712226994,234.69997609371228,39.316239316239326,149.9908542162063,180.8891159938682,294.3345625209522,236.8852459016393,791.9868276619103,159.11059774761767,48.4076433121019,669.8156092617364,1270.0188869628212,60.41839740200891,394.29522133425655,705.9222355533547,2847.0443269885536,390.2083361462538,470.2232664386697,89.77582113919162,43.34005158443733,30.14251707940191,1.792257772288762,193.23797435767926,31.4459772774301,161.79199708024916,253.5230085164831,72.66953110405373,0.815236996600173,86.83958881185738,22.008547008547016,56.15511249314065,75.62595809913134,94.20046932618175,65.57377049180327,206.64105378704727,94.7155645394167,32.93903548680618,253.5230085164831,469.91022224522,33.821168110907166,147.6202840848985,295.1313301183517,911.1838905282272,108.01614841418792,122.68819113940344,53.44186811915582,29.490786980387814,0.6864290610006853,136.2787222118437,0.6908168364303435,160.76978245278482,48.71794871794874,475.4371072307825,869.9645546040207,74.86627504161974,7029.0,328.273865122361,0.6279920354153581,395.46975854649713,88.03418803418806,2139.9834415668415,135.28467244362866,0.415137288376725,6617.0
Glenn,254.079254079254,0.7806681165797433,139.6239934551828,-30.623993455182813,6.531171,-1.8349590638410989,15224.174825174823,-4277.293855107457,314.37125748502984,42.10526315789474,253.16455696202533,240.8759124087592,117.6470588235294,368.421052631579,700.0000000000002,246.3768115942029,92.43697478991598,601.6448639399459,1134.031752889081,45.15692029803567,594.5892379347933,486.8692829743287,1398.6013986013986,1266.9683257918552,386.3774355577634,93.83452006402827,60.71645415907712,16.559032952475576,0.0,171.11000717558096,11.039355301650383,160.07065187393056,193.1887177788817,81.58508158508157,0.9152553466124096,98.80239520958082,21.05263157894737,101.26582278481013,58.394160583941634,58.8235294117647,52.63157894736843,200.00000000000006,57.971014492753625,50.4201680672269,193.1887177788817,356.40997947942543,22.578460149017836,237.83569517391734,118.02891708468574,699.3006993006993,180.99547511312218,110.39355301650383,22.078710603300767,33.11806590495115,0.6571428571428571,244.75524475524472,1.2407002438628538,272.4550898203592,147.3684210526316,579.5661533366451,982.8275191705368,158.04922104312485,214.0,498.8344988344988,0.954276674269244,586.826347305389,189.47368421052636,2116.8592720596175,203.20614134116053,0.49065420560747663,196.0
Humboldt,168.99618805590845,0.5192471786681558,768.4201597848177,-369.42015978481766,23.907681,-22.13528655414649,10126.082592121978,-9375.386088160301,215.21862578080626,33.33333333333333,136.76092544987148,273.58490566037716,207.31707317073167,381.5789473684209,674.8329621380839,90.34907597535934,42.606516290726795,412.6462101703329,766.5082414804328,42.329834067050456,350.0783069897214,318.9617245930488,1523.2974910394264,828.4136354980003,313.36291148273403,45.50484523181616,35.162834951857945,12.410412335949863,4.136804111983287,52.74425242778691,6.205206167974931,46.53904625981198,117.8989171915237,48.28462515883099,0.5416769889444727,61.32879045996591,9.999999999999998,38.56041131105398,28.30188679245281,48.78048780487804,140.35087719298238,122.49443207126936,51.33470225872689,20.050125313283196,117.8989171915237,218.42451208413388,12.698950220115137,98.70628956477107,32.99604047514298,358.42293906810033,304.703865930299,56.8810565397702,25.855025699895545,16.54721644793315,0.6592797783933518,152.90131300296477,0.775079187861464,176.0363429869392,84.99999999999997,373.34657110649164,626.9592476489028,107.94107687097866,760.0,321.8975010588732,0.6157939707132337,391.2549687677455,118.3333333333333,1393.4674891293357,150.27091093802912,0.475,689.0
Imperial,126.13265675969559,0.38754735780622257,897.9547737595552,-549.9547737595552,20.851812,-32.95274008889879,7557.7426603842005,-11943.72601989808,154.02089959109506,16.129032258064512,105.37190082644628,125.494071146245,164.83516483516485,188.4057971014492,397.7272727272725,85.8505564387917,57.5176589303734,302.60606429509306,563.0855092684872,16.424256802379695,315.2234377897274,280.3532008830022,659.7756762700682,353.74149659863946,182.6071077642803,46.956113425100654,49.564786393161796,24.34761436857071,1.739115312040765,57.39080529734524,9.565134216224207,47.82567108112103,114.78161059469048,47.84342152953972,0.5367273832958895,58.155383916401675,7.1684587813620055,30.991735537190085,51.877470355731205,38.46153846153847,72.463768115942,100.37878787878783,46.10492845786962,34.30877901109992,114.78161059469048,212.61045777689188,7.299669689946531,92.71277582050807,115.89403973509935,153.94765779634926,136.05442176870747,46.08655576908027,25.21717202459109,29.564960304693003,0.5512295081967213,176.8756795940559,0.8966087694063629,194.45706497046808,107.52688172043008,424.3441361379466,710.9162181914824,109.49504534919795,836.0,303.00833635375153,0.5796587609058865,348.47796456156317,123.6559139784946,1274.0017274599695,125.91930215157764,0.583732057416268,767.0
Inyo,193.39622641509436,0.5942172192539861,68.99833709207168,-27.99833709207168,2.456679,-1.677632360219843,11588.10849056604,-7913.360189716241,239.26380368098162,40.816326530612244,186.9158878504673,66.66666666666669,****,404.76190476190476,391.8918918918921,176.47058823529412,27.02702702702704,324.54682181587907,597.8844090142572,32.733224222585925,236.96682464454977,169.3480101608806,0.0,976.4503159103963,229.55750811367056,47.49465685110425,15.831552283701418,0.0,0.0,55.410432992954966,7.915776141850709,47.49465685110425,87.07353756035779,51.8867924528302,0.5820875984722322,67.48466257668713,0.0,28.037383177570096,0.0,****,190.47619047619045,81.08108108108112,88.23529411764706,0.0,87.07353756035779,168.63406408094434,0.0,35.54502369668246,0.0,0.0,459.5060310166571,47.49465685110425,23.747328425552126,0.0,0.4189189189189189,349.0566037735849,1.7694191348459194,398.7730061349694,183.67346938775512,585.7674344969524,996.474015023762,147.29950900163666,115.0,542.4528301886793,1.0377190911010659,638.036809815951,224.48979591836735,1594.3584240380192,180.0327332242226,0.6434782608695652,104.0
Kern,262.3524834651798,0.8060879267336578,5019.303559594005,-973.3035595940046,242.432274,-58.31937598731316,15719.898456750107,-3781.5702235321733,316.57264328346025,54.52836101535571,186.61685885983437,272.4735605170388,418.2475158084912,477.36625514403283,608.8688263409456,190.6625663964216,118.23976968949205,718.1564359845008,1296.4488284415158,65.72858626876948,517.4953047097027,683.9113090541746,2846.3406387360524,308.6009204820559,407.0026464934405,121.0535564363395,102.06128291920119,57.33181631809041,2.6624682500661176,254.53196470632088,64.43173165160005,190.10023305472083,263.5843567565457,96.29101283880178,1.0802325942339057,112.9915787752433,32.27828267000942,72.76270911158032,103.55464159811986,135.95302619692856,127.57201646090533,127.72172065852372,113.7824993010903,58.40016450750564,263.5843567565457,462.7304444489088,38.908301067145146,201.7736262053497,259.9231659747672,925.214397688501,82.47093564606668,85.37648188545352,72.24163851846066,50.409398867918505,0.6674556213017752,164.37556737128787,0.8332438666496919,182.89592020276356,93.3876527734253,449.9571342611739,749.0072389523943,112.56964774766266,6581.0,426.7280508364676,0.8163361317652688,499.46856348622384,147.916013788781,2045.4560673939102,178.29823401643213,0.38519981765689104,6109.0
