County,"Imprisonments per 1,000 annual adult felony arrests","County imprisonment rate as percent of state average (=100%), arrest based","County imprisonments if rate equalled state average, projected (number)",County actual imprisonments minus projected imprisonments at average state rate (number),Total imprisonment costs (millions of dollars),Costs added (saved) from excessive (lower) imprisonments (millions of dollars/year),Total imprisonment costs per adult felony arrest (actual dollars),Total imprisonment costs per adult felony arrest versus state average (actual dollars),"Men imprisoned per 1,000 male felony arrests","Women imprisoned per 1,000 female felony arrests","White, not Latino, imprisonments per 1,000 white felony arrests","Latino imprisonments per 1,000 latino felony arrests","Black imprisonments per 1,000 black felony arrests","Asian/other imprisonments per 1,000 asian/other felony arrests","Imprisonments for violent offenses per 1,000 violent felony arrests","Imprisonments for property offenses per 1,000 property felony arrests","Imprisonments for drug offenses per 1,000 drug felony arrests","Total adult imprisonments per 100,000/population age 18-69","Men imprisoned per 100,000 males","Women imprisoned per 100,000 females","White, not Latino, imprisonments per 100,000 whites","Latino imprisonments per 100,000 Latinos","Black imprisonments per 100,000 African Americans","Asian/other imprisonments per 100,000 asian/other population","Imprisonments for violent offenses per 100,000 population","Imprisonments for property offenses per 100,000 population","Imprisonments for drug offenses per 100,000 population","Imprisonments for drug possession offenses per 100,000 population","Imprisonments for marijuana offenses per 100,000 population","Imprisonments for strike offenses per 100,000 population","Imprisonments for 3rd strikes per 100,000 population","Imprisonments for 2nd strikes per 100,000 population",Change in imprisonment rates per adult felony arrest compared to 2009,"New felon and parole violator admissions per 1,000 adult felony arrests","New felon and parole violator admissions per 1,000 felonies as a percent of the state average (=100%)","Male new felon and parole violator admissions per 1,000 male felony arrests","Female new felon and parole violator admissions per 1,000 female felony arrests","White, not Latino, new felon and parole violator admissions per 1,000 white felony arrests","Latino new felon and parole violator admissions per 1,000 latino felony arrests","Black new felon and parole violator admissions per 1,000 black felony arrests","Asian/other new felon and parole violator admissions per 1,000 asian/other felony arrests","New felony and parole violator admissions for violent offenses per 1,000 violent felony arrests","New felony and parole violator admissions for propery offenses per 1,000 property felony arrests","New felony and parole violator admission for drug offenses per 1,000 drug felony arrests","New felon and parole violator admissions per 100,000 population","Male new felon and parole violator admissions per 100,000 male population","Female new felon and parole violator admissions per 100,000 female population","White, not Latino, new felon and parole violator admissions per 100,000 whites","Latino new felon and parole violator admissions per 100,000 Latinos","Black new felon and parole violator admissions per 100,000 African Americans","Asian/other new felon and parole violator admissions per 100,000 Asian/other population",Percent of new felon and parole violator admissions who are age 35 or older (2014),"New felony and parole violator admissions for violent offenses per 100,000 population","New felony and parole violator admissions for propery offenses per 100,000 population","New felony and parole violator admission for drug offenses per 100,000 population",Percent of jail population that is unsentenced,"County jail populations per 1,000 adult felony arrests","County jail incarceration rate per 1,000 felony arrests as a percent of the state average (=100%)","Men jailed per 1,000 male felony arrests","Women jailed per 1,000 female felony arrests","County jail populations per 100,000 population age 18-69","Men jailed per 100,000 males age 18-69","Women jailed per 100,000 females age 18-69",Total adult population incarcerated,"Total adult incarceration rate per 1,000 adult felony arrests",Total adult incarceration rate as a percent of the state average (=100%),"Total adult male incarceration rate per 1,000 adult male felony arrests","Total adult female incarceration rate per 1,000 adult female felony arrests","Total adult male incarceration rate per 100,000 males age 18-69","Total adult female incarceration rate per 100,000 females age 18-69",Percent of incarcerated adult population held locally,"Total incarcerated (state prison + local jails), adult males","Total incarcerated (state prison + local jails), adult females","Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 2011-2016 average",Adult poverty rate as percent of state adult poverty rate
Alameda,337.44459433416847,0.7560452933050733,4631.997621056417,-1129.9976210564173,258.076388,-83.27404468613162,24867.641934862208,-8024.093725778723,416.61568579468985,43.99092970521542,140.08321775312066,238.18897637795274,503.9862098685628,246.61508704061896,1017.3885551691433,65.0557620817844,14.534883720930232,304.7552081203078,600.6572831239118,16.65979664743061,76.28187537605957,238.31376271827375,1693.675688983505,70.84533768221837,280.0406224246575,15.22905808710847,2.1755797267297816,0.8702318906919125,0.0,49.86428733664659,11.225991389925674,38.63829594672092,0.18776696351344047,59.83811909809212,0.48582081905742774,74.2689342958522,6.349206349206349,28.663892741562645,48.818897637795274,85.75737987502693,35.783365570599614,123.93297502371168,36.059479553903344,18.6046511627907,54.04140041196778,107.07752448053287,2.4045067326188514,15.60883258520031,48.84447368110074,288.1927850429393,10.279519585263058,0.0,34.11309011512298,8.441249339711552,2.7847420502141205,0.8447412353923205,230.87300057814608,0.9089085587672785,45.515722500917654,975.0566893424036,208.50756100978225,65.62246969811899,369.26353393789503,5898.0,568.3175949123145,0.8114883648981464,462.1314082956075,1019.047619047619,666.2797528220309,385.92333058532563,0.4062394031875212,3777.0,2247.0,4266.378948191135,618.3626913645378,3648.0162568265973,903.126656160067,275.254347025852,234.09237859612452,149.67988519900896,1441.7538839858241,378.7098103874691,544.5468529320688,1000.5238963709345,3360.559586392666,287.27089868005413,0.10808363413811624,0.869510509142086
Alpine,76.92307692307693,0.1723463087888251,5.802271061257796,-4.802271061257796,0.073694,-0.35389856358833205,5668.7692307692305,-27222.9664298717,83.33333333333333,0.0,0.0,****,****,200.0,0.0,****,****,126.58227848101266,245.7002457002457,0.0,0.0,0.0,****,617.283950617284,0.0,126.58227848101266,0.0,0.0,0.0,0.0,0.0,0.0,-0.6153846153846153,76.92307692307693,0.624532201186422,83.33333333333333,0.0,0.0,****,****,200.0,0.0,1000.0,****,126.58227848101266,245.7002457002457,0.0,0.0,0.0,****,617.283950617284,****,0.0,126.58227848101266,0.0,****,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.92307692307693,0.10983679279694504,83.33333333333333,0.0,245.7002457002457,0.0,0.0,1.0,0.0,3484.320557491289,522.6480836236934,2961.6724738675957,1645.5696202531647,632.9113924050632,126.58227848101266,0.0,2948.4029484029484,261.0966057441253,1225.9194395796849,1754.3859649122805,****,3086.4197530864194,0.14342629482071714,1.1538349133834764
Amador,334.23913043478257,0.7488634449818784,164.248903887913,-41.248903887913,9.064362,-3.039796723115861,24631.418478260868,-8260.317182380062,452.1072796934866,46.72897196261682,278.1954887218045,575.0,454.5454545454545,400.0,950.6172839506173,220.33898305084745,142.85714285714286,491.80327868852464,843.6405233431043,45.359702440351995,379.8767967145791,666.8599594085242,1335.113484646195,1201.2012012012012,307.8768492602959,51.97920831667333,35.98560575769692,3.9984006397441023,0.0,219.91203518592562,59.97600959616153,159.93602558976409,-0.3420489558370422,122.28260869565217,0.9928025480816762,149.42528735632186,56.074766355140184,116.54135338345864,150.0,90.9090909090909,150.0,197.53086419753086,220.33898305084745,31.746031746031743,179.9280287884846,278.8303424608565,54.43164292842239,159.13757700205338,173.96346767178892,267.022696929239,450.45045045045043,0.0,63.97441023590564,51.97920831667333,7.996801279488205,0.545353572750833,220.19021739130434,0.8668522202363073,141.14942528735634,605.8878504672897,323.9904038384646,263.3874311861014,588.1339018416039,204.03,554.429347826087,0.7916576381703507,593.256704980843,652.6168224299065,1107.0279545292058,633.4936042819559,0.39714747831201297,154.84,69.83,2046.1939716598101,247.37167594310452,1798.8222957167056,1471.4114354258297,323.8704518192723,235.90563774490204,251.89924030387846,1866.018445699578,970.6976322235327,1365.5030800821355,1159.7564511452595,2937.2496662216286,3003.003003003003,0.08854038641168084,0.7122891183514328
Butte,469.3978282329714,1.0516867796427662,904.2616284698689,46.738371530131076,70.082994,3.444337551541479,34591.80355380059,1700.067893159663,577.7488614183475,128.83435582822085,418.6649384316267,611.5702479338843,735.7142857142858,534.6534653465346,1085.5704697986578,292.7835051546392,175.9036144578313,623.2387443475982,1149.9760421657882,83.5865253214101,568.1868156031487,668.2922423914025,4205.798285014292,377.6223776223776,424.0120584573039,93.05983354086113,47.84061865128776,11.796316927714791,3.9321056425715972,98.30264106428994,26.869388557572577,71.43325250671735,-0.3338094972566401,167.32477788746297,1.3584962540121233,200.3903708523097,63.394683026584865,159.42968243681142,169.42148760330576,257.1428571428571,158.41584158415841,291.94630872483225,138.14432989690724,67.46987951807229,222.16396880529524,398.8655641746202,41.12987753910655,216.36835392937243,185.13501309491556,1469.9877501020826,111.8881118881119,0.0,114.03106363457633,43.90851300871617,18.349826332000788,0.5607142857142857,276.4067127344521,1.088167201344256,160.05204944697462,985.6850715746422,366.99652664001576,318.5744441134954,639.503257220947,1511.0,745.8045409674236,1.064918124832375,737.8009108653221,1114.519427402863,1468.5504862792836,723.0897825423572,0.37061548643282594,1134.0,545.0,3596.668517490283,350.9161576901721,3245.7523598001108,1327.7410053083427,390.5891604954453,317.84520610787075,271.9706402778688,1990.442766676595,648.790648923326,1357.1397159065923,1092.7481260724282,5716.619028174765,706.2937062937062,0.1995118390101098,1.6050315304523675
Calaveras,177.0334928229665,0.39664389726040605,186.56533104659684,-112.56533104659684,5.453356,-8.295389506147908,13046.306220095694,-19845.42944054524,216.9811320754717,50.0,197.32441471571906,102.94117647058823,90.9090909090909,175.0,318.4713375796178,166.66666666666666,32.608695652173914,254.01620211451325,475.5668895168516,34.192710114203656,244.73203915712625,222.29279136233725,420.16806722689074,427.61148442272446,171.63256899629275,27.461211039406837,10.297954139777564,3.4326513799258547,0.0,41.19181655911026,6.865302759851709,34.32651379925855,-0.3391806912169969,59.80861244019139,0.48558125690331855,75.47169811320754,10.0,66.8896321070234,29.41176470588235,181.8181818181818,25.0,63.69426751592356,83.33333333333333,32.608695652173914,85.81628449814637,165.41457026673098,6.8385420228407305,82.96001327360213,63.51222610352493,840.3361344537815,61.087354917532075,0.0,34.32651379925855,13.730605519703419,10.297954139777564,0.5368421052631579,227.27272727272725,0.8947348822741326,138.36477987421384,750.0,326.1018810929562,303.2600454890068,512.8906517130547,169.0,404.3062200956938,0.577300080801168,355.3459119496855,800.0,778.8269350058584,547.0833618272585,0.5621301775147929,113.0,80.0,1861.9812015806747,397.4012636467147,1464.5799379339599,1434.8482768090073,538.9262666483592,164.76726623644103,315.80392695317863,2191.743056034186,683.854202284073,1240.2521984403518,2159.415687519848,4621.848739495798,2443.494196701283,0.08528908779973074,0.686133092658985
Colusa,244.96644295302013,0.548847808861057,133.00590586575566,-60.005905865755665,5.379662,-4.422075226870998,18052.557046979866,-14839.178613661064,311.68831168831167,14.925373134328359,196.96969696969697,265.1515151515151,500.0,291.6666666666667,697.3684210526316,238.09523809523807,90.9090909090909,512.6764519980336,982.8009828009828,14.465499783017504,474.4525547445255,433.9739615623063,4761.9047619047615,1188.4550084889643,372.2171500807641,70.22965095863474,14.045930191726947,0.0,0.0,42.137790575180844,7.022965095863474,35.11482547931737,-0.2707161567340871,110.73825503355705,0.8990748802314599,138.52813852813853,14.925373134328359,75.75757575757576,106.06060606060606,400.0,208.33333333333334,236.8421052631579,166.66666666666666,45.45454545454545,231.75784816349463,436.80043680043684,14.465499783017504,182.4817518248175,173.5895846249225,3809.52380952381,848.8964346349745,0.0,126.41337172554252,49.16075567104432,7.022965095863474,0.5666666666666667,302.013422818792,1.1889765549683107,168.83116883116884,1149.2537313432836,632.0668586277127,532.3505323505324,1113.8434832923479,163.0,546.9798657718121,0.7810206843514313,480.5194805194805,1164.1791044776119,1515.1515151515152,1128.3089830753654,0.5521472392638037,111.0,78.0,1798.4648339878613,205.2838272045698,1593.1810067832917,2092.8435985673154,533.745347285624,294.9645340262659,154.5052321089964,3153.1531531531527,969.1884854621727,2408.7591240875913,1636.7017978921265,9523.809523809523,4074.7028862478783,0.1183196821020193,0.9518574004884921
Contra Costa,227.31625568589897,0.5093025287370989,3728.628649672895,-1829.6286496728949,139.944906,-134.83265370899434,16751.844146516636,-16139.891514124294,278.3599088838269,37.30921424533635,152.93720459149225,204.6138415245737,315.65924354895725,254.83304042179262,699.7858672376873,50.689526649273205,46.73807205452775,247.9827730977214,487.23176336431806,16.941669319150247,126.21513411402827,220.05997713102198,1254.4777691929478,96.48720047378544,213.377488805517,17.759693070716224,6.268126966135139,1.0446878276891898,0.26117195692229744,41.39575517218414,10.31629229843075,31.079462873753393,0.21106156465582826,44.768972947091214,0.3634756478535293,54.21412300683371,9.609949123798756,36.12424037812289,50.15045135406219,50.194414987628136,43.936731107205624,92.07708779443254,27.95378307864331,20.44790652385589,48.839155944469624,94.89456602349239,4.363763309478094,29.81240474658063,53.936268904662256,199.48022757603428,16.635724219618176,0.0,28.075985369146974,9.793948384586153,2.742305547684123,0.7985125084516566,177.04093847258798,0.696980694264681,45.254365983295365,693.0469191633691,193.13666214403895,79.21171057423174,314.7043422011849,3378.0,404.357194158487,0.5773728655596175,323.6142748671222,730.3561334087055,566.4434739385498,331.64601152033515,0.43783303730017764,2131.0,1292.0,2905.9363090697,344.72260229720666,2561.213706772494,1090.9152640644363,304.91825970678224,350.362180211262,134.11179987959972,1750.3661548030739,454.0880761451029,825.2742323305779,1075.4892019589654,3974.1518578352184,378.6290832385097,0.08506774974183849,0.6843524737064017
Del Norte,391.71974522293,0.8776488781953227,140.14716255653448,-17.147162556534482,9.064362,-1.2636429974412522,28867.394904458597,-4024.3407561823333,508.7719298245614,81.39534883720931,326.3598326359833,1000.0,5000.0,355.9322033898305,506.49350649350646,310.3448275862069,272.7272727272727,681.063122923588,1137.4779368503628,89.03586873569067,670.1606667239454,425.402613187481,1307.1895424836603,887.9492600422832,431.8936877076412,99.66777408637873,49.833887043189364,0.0,5.537098560354375,193.7984496124031,38.75968992248062,155.03875968992247,0.025444359222329904,162.42038216560508,1.3186778642885277,188.5964912280702,93.02325581395348,125.52301255230125,357.14285714285717,1000.0,237.28813559322035,123.37662337662337,206.89655172413794,151.51515151515153,282.3920265780731,421.65130417728966,101.75527855507505,257.75410258613283,151.92950470981464,261.437908496732,591.9661733615222,0.0,105.20487264673311,66.44518272425249,27.685492801771872,0.5666666666666667,286.62420382165607,1.1283917623584603,171.05263157894737,813.953488372093,498.33887043189367,382.4279270445185,890.3586873569066,213.0,678.343949044586,0.9685926090915312,679.8245614035088,895.3488372093024,1519.9058638948813,979.3945560925972,0.4225352112676056,155.0,77.0,2869.8224852071007,621.301775147929,2248.5207100591715,1738.6489479512736,852.7131782945736,321.15171650055373,182.72425249169433,2235.7324965679545,1093.8692444670567,2053.441017269525,425.402613187481,261.437908496732,2494.7145877378434,0.21115800580321814,1.6987225364828369
El Dorado,313.6645962732919,0.702766159750706,574.8711636076956,-170.87116360769562,29.772376,-12.59217953090552,23115.198757763977,-9776.536902876953,385.0156087408949,103.97553516819572,299.31972789115645,328.8590604026846,528.3018867924528,333.3333333333333,695.9619952494062,217.55725190839695,162.962962962963,325.3551525303611,592.2653348700218,55.10534846029174,311.01058243799986,325.2788104089219,3004.291845493562,207.78652668416447,235.96301903810843,45.904068550075706,17.71735979125729,4.0266726798312025,0.8053345359662403,79.7281190606578,10.469348967561125,69.25877009309667,0.2966705096043485,106.36645962732919,0.8635806291250137,134.23517169614985,24.464831804281346,92.3226433430515,174.49664429530202,150.94339622641508,140.35087719298244,190.02375296912115,87.78625954198472,88.88888888888889,110.33083142737493,206.49250864387247,12.965964343598056,95.92858873899345,172.59691980881573,858.3690987124463,87.48906386701663,0.0,64.42676287729924,18.52269432722353,9.664014431594884,0.5226666666666666,291.14906832298135,1.146205400428819,186.264308012487,944.954128440367,302.0004509873402,286.5283647073889,500.8103727714749,779.0,604.8136645962733,0.8636003110672844,571.2799167533818,1048.9296636085628,878.7936995774107,555.9157212317666,0.4813863928112965,549.0,343.0,1862.8515582582254,211.20642849386468,1651.645129764361,1037.2708823245177,339.0458396417872,210.99764842315497,108.72016235544245,1538.2891535407864,529.9837925445705,1039.0580822360448,989.1131173659055,5686.695278969957,623.3595800524935,0.07673371467447253,0.6173068832021698
Fresno,446.47348277747403,1.0003247374742532,4081.674527323273,1.325472676726804,300.892602,0.0976793834387051,32902.416839803176,10.681179162245826,527.0796935895713,94.48356807511738,364.82412060301505,417.50905969864584,620.9335219236209,582.3293172690763,777.1530794786609,277.1349862258953,188.4272997032641,644.7558123560037,1229.9336111816708,51.21125757035982,354.14806901497076,685.5256688494505,2746.9261333416766,376.70165229138524,480.2112234569208,79.42987352806021,20.054858723784587,8.369350491028214,0.7895613670781334,206.5492536276397,30.319156495800325,176.2300971318394,0.11312261973940174,157.02569710224165,1.2748788553032395,182.23357075661872,46.948356807511736,127.63819095477386,156.7804691970246,191.65487977369168,178.71485943775102,203.16892409915667,137.7410468319559,94.95548961424333,226.7620246248399,425.2396677109499,25.446587612601153,123.90304342948014,257.4244402897434,847.8553327284673,115.60843811701132,0.0,125.5402573654232,39.47806835390667,10.106385498600108,0.693304535637149,303.7725533078185,1.1959019587767281,114.50073914796398,1443.075117370892,438.6802955486109,267.18598590688003,782.1644867423278,6861.0,750.2460360852925,1.071260039358985,641.5804327375353,1537.5586854460096,1497.1195970885508,833.3757443126876,0.40489724529951904,4774.0,2620.0,3817.797111353511,604.6403951543849,3213.156716199126,1444.107740385906,617.9107258753472,286.61077624936246,106.43287228213238,2333.486996635087,542.0123161484045,970.7364426167932,1641.9420199989352,4423.865094014955,646.8876649693442,0.19428528587627802,1.5629849901718202
