County,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other","Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,Part I crimes reported to police (number),Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), 2011 census adjusted","White, not Latino population",Latino population,Black population,Asian/other population,"Total adult population, age 18-69","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,
Alameda,3821.0,4116.0,155.0,3276.0,558.0,359.0,72.0,25.0,615.0,138.0,477.0,1249.0,125.0,232.0,808.0,84.0,3201.0,620.0,3518.0,303.0,40927.0,10468.0,30459.0,14991.0,3076.0,3547.0,5125.0,12029.0,2962.0,3174.000000000001,3171.000000000002,7337.000000000001,1309.0000000000005,1513493.0,379270.4882332224,221663.06207052694,130709.423986949,325188.7056034962,1056831.6798941945,519017.0,535550.0,45828.0,
Alpine,0.0,6.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,50.0,10.0,40.0,15.0,6.0,0.0,3.0,13.0,2.0,6.0,3.0,0.0,6.0,1147.0,626.7409929839861,37.021778034880874,0.0,146.20353753519873,809.9663085540657,436.0,382.0,,
Amador,85.0,186.0,19.0,87.0,35.0,48.0,28.0,2.0,51.0,13.0,38.0,101.0,68.0,13.0,7.0,13.0,44.0,41.0,72.0,13.0,571.0,110.0,461.0,507.0,87.0,49.0,172.0,351.0,156.0,401.99999999999994,55.0,13.000000000000002,37.0,37907.0,20646.533800066405,3409.681123374843,868.9342486004598,1314.34293707068,26239.49210911239,15011.0,11355.0,,
Butte,535.0,1197.0,128.0,664.0,284.0,269.0,149.0,25.0,164.0,42.0,122.0,555.0,386.0,94.0,53.0,22.0,401.0,134.0,472.0,63.0,4235.0,762.0,3473.0,1924.0,527.0,467.0,617.0,1417.0,507.0,1525.9999999999998,209.0000000000001,106.99999999999999,81.99999999999999,220024.0,115136.7677275905,19588.829468319047,2245.847216593928,12713.082793782669,149684.52720628612,75279.0,74541.0,,
Calaveras,62.0,102.0,9.0,56.0,16.0,27.0,20.0,2.0,13.0,0.0,13.0,46.0,38.0,2.0,1.0,5.0,37.0,25.0,53.0,9.0,640.0,93.0,547.0,460.0,148.0,69.0,159.0,342.0,118.0,393.00000000000006,41.0,9.999999999999998,16.000000000000004,45258.00000000012,25752.120281825773,2870.089554141762,213.01296982824536,1525.2704291862538,30360.493234982037,15172.0,15205.0,,
Colusa,46.0,86.0,8.0,55.0,18.0,9.0,3.0,0.0,7.0,3.0,4.0,38.0,20.0,16.0,1.0,1.0,30.0,16.0,35.0,11.0,381.0,48.0,333.0,277.0,63.0,53.0,44.0,202.0,75.0,137.0,116.00000000000003,12.000000000000002,12.0,21452.0,5760.388752643541,7060.020800294019,87.86183368077775,509.0517471859712,13417.323133804308,6841.0,6485.0,,
Contra Costa,1577.0,1823.0,59.0,1453.0,290.0,97.0,14.0,5.0,316.0,89.0,227.0,467.0,128.0,119.0,191.0,29.0,1366.0,211.0,1375.0,202.0,24266.0,4326.0,19940.0,10509.0,2330.0,3083.0,3165.0,8239.0,2270.0,4183.999999999996,2162.9999999999995,3547.9999999999986,614.0000000000003,1052192.0,349996.1471075568,159776.22549274372,62694.1086641611,129741.45045799087,702207.9317224525,341317.0,358041.0,,
Del Norte,103.0,131.0,7.0,96.0,20.0,11.0,3.0,0.0,18.0,6.0,12.0,32.0,23.0,4.0,0.0,5.0,66.0,37.0,81.0,22.0,609.0,111.0,498.0,525.0,175.0,109.0,139.0,383.0,142.0,452.0,24.0,10.0,38.99999999999999,28576.999999999945,12928.3877812902,3681.8651658659423,1030.433151825601,2234.4355562439487,19875.121655225692,11627.0,8217.0,,
El Dorado,300.0,426.0,38.0,266.0,100.0,61.0,28.0,5.0,82.0,17.0,65.0,181.0,130.0,28.0,7.0,16.0,149.0,151.0,254.0,46.0,2360.0,485.0,1875.0,1682.0,486.0,325.0,383.0,1244.0,438.0,1405.0,173.00000000000003,43.0,61.0,181183.0,99491.87106658539,13461.205020905909,877.5881873158208,8560.540615475795,122391.20489028291,61462.0,61038.0,,
Fresno,1751.0,4507.0,256.0,2843.0,902.0,596.0,361.0,21.0,982.0,196.0,786.0,1758.0,382.0,967.0,294.0,115.0,1530.0,221.0,1567.0,184.0,28584.0,4976.0,23608.0,13345.0,3692.0,3071.0,3331.0,10710.0,2635.0,3402.000000000001,7210.999999999994,2002.9999999999993,729.0000000000003,933074.9999999991,210351.83315356713,281553.09793042723,29626.201275211304,68692.26460606093,590223.3969652666,295800.0,292251.0,,
Glenn,78.0,121.0,5.0,68.0,21.0,23.0,5.0,3.0,15.0,2.0,13.0,51.0,29.0,16.0,1.0,5.0,55.0,23.0,63.0,15.0,448.0,73.0,375.0,428.0,103.0,82.0,132.0,325.0,103.0,265.99999999999994,121.99999999999997,14.0,26.000000000000007,28188.0,10295.0091384298,6321.331360340463,118.91717930256496,1001.0569811263085,17736.314659199135,9043.0,8642.0,,
Humboldt,373.0,593.0,35.0,323.0,115.0,128.0,69.0,13.0,42.0,2.0,40.0,313.0,230.0,20.0,8.0,55.0,273.0,100.0,313.0,60.0,3044.0,529.0,2515.0,2079.0,458.0,406.0,652.0,1575.0,504.0,1695.9999999999998,97.99999999999994,58.99999999999999,225.99999999999997,134575.0,76089.5857788391,8550.723815083013,1100.0359313281122,9857.09055777495,95597.43608302517,48629.0,46899.0,,
Imperial,555.0,389.0,21.0,209.0,87.0,89.0,26.0,5.0,48.0,13.0,35.0,197.0,30.0,144.0,17.0,6.0,418.0,137.0,504.0,51.0,3748.0,618.0,3130.0,2469.0,496.0,628.0,919.0,1973.0,496.0,437.0,1844.0000000000007,133.0,55.00000000000001,175594.0,16745.467818360787,86903.27463959031,4657.414450000224,3028.9654457621364,111335.12235371346,57722.0,52927.0,,
Inyo,72.0,66.0,5.0,44.0,9.0,9.0,1.0,0.0,6.0,1.0,5.0,21.0,13.0,4.0,1.0,3.0,36.0,36.0,62.0,10.0,218.0,69.0,149.0,210.0,68.0,40.0,60.0,164.0,46.0,124.99999999999999,33.99999999999999,4.0,46.99999999999999,18627.0,8430.314938510726,2081.597019316085,82.0323362295426,1598.1039190633055,12192.048213119659,6214.0,5932.0,,
Kern,2313.0,4605.0,346.0,2259.0,1053.0,1204.0,716.0,37.0,1349.0,412.0,937.0,2362.0,810.0,1112.0,402.0,38.0,1890.0,423.0,2045.0,268.0,25109.0,4879.0,20230.0,13611.0,3681.0,3582.0,3549.0,10714.0,2897.0,5074.999999999999,6372.000000000002,1940.0000000000005,224.00000000000003,841744.0000000021,223022.31887781937,247553.25401395716,30804.60717218762,35641.82857003703,537022.0086340012,281529.0,253624.0,,
Kings,336.0,1451.0,153.0,746.0,325.0,337.0,149.0,19.0,386.0,127.0,259.0,678.0,178.0,371.0,96.0,33.0,189.0,147.0,285.0,51.0,2232.0,533.0,1699.0,1400.0,352.0,258.0,316.0,1068.0,332.0,430.00000000000006,757.0000000000003,135.0,77.99999999999999,153020.0,38542.28195559115,48597.275005286436,8702.633199189584,6422.140476844914,102264.33063691208,61149.0,41112.0,,
Lake,200.0,377.0,25.0,232.0,69.0,61.0,33.0,9.0,75.0,12.0,63.0,154.0,98.0,27.0,12.0,17.0,149.0,51.0,177.0,23.0,1439.0,292.0,1147.0,1047.0,299.0,164.0,298.0,775.0,272.0,780.9999999999998,141.99999999999997,67.00000000000003,57.000000000000014,64466.0,33388.65836846543,6582.461289685862,778.6364765162989,2748.391963610171,43498.148098277765,21822.0,21522.0,,
Lassen,67.0,133.0,12.0,85.0,26.0,19.0,6.0,3.0,31.0,14.0,17.0,59.0,40.0,8.0,4.0,7.0,48.0,19.0,59.0,8.0,427.0,118.0,309.0,334.0,100.0,64.0,63.0,239.0,95.0,274.99999999999994,29.999999999999996,6.0,23.000000000000004,34730.0,16943.9761857767,4986.908661643099,2902.7342612606744,1653.7513075434763,26487.37041622395,18038.0,8280.0,,
Los Angeles,15119.0,50720.0,3220.0,33002.0,9196.0,8262.0,2920.0,542.0,15253.0,3190.0,12063.0,19047.0,2967.0,8966.0,6367.0,747.0,10712.0,4407.0,13486.0,1633.0,200091.0,50223.0,149868.0,108997.0,28800.0,27824.0,32126.0,86645.0,22352.0,20965.0,53888.999999999985,28832.999999999993,5310.000000000002,9827070.0,1976709.2538088525,3028267.4684625086,566421.1547705918,1118865.243399838,6690263.120441791,3306288.0,3367697.0,,
Madera,369.0,566.0,81.0,359.0,123.0,131.0,62.0,8.0,156.0,40.0,116.0,204.0,60.0,105.0,31.0,8.0,242.0,127.0,321.0,48.0,2960.0,654.0,2306.0,1287.0,399.0,246.0,271.0,1062.0,225.0,446.0,721.0,71.0,48.99999999999999,151160.0,39201.633039822795,49044.71813330901,4128.642656736856,4425.546775117677,96800.54060498635,45413.0,50983.0,,
Marin,288.0,405.0,15.0,244.0,96.0,43.0,15.0,1.0,110.0,48.0,62.0,118.0,50.0,22.0,38.0,8.0,233.0,55.0,256.0,32.0,3569.0,520.0,3049.0,1613.0,473.0,447.0,419.0,1214.0,399.0,871.0000000000001,374.00000000000017,268.00000000000006,100.00000000000004,252767.0,125621.78497315796,26868.664789676466,5630.479980798141,14420.379241956485,172541.30898558907,85567.0,86473.0,,
