County,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,"Part I crimes reported to police (number), as defined by the California Crime Index (CCI)",Violent crimes reported,"Property crimes reported (excluding larceny under $400 and arson, per CCI)","Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), using Dept. of Finance table E-2","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3","Male population, age 18-69","Female population, age 18-69",At Legislative Analyst-estimated cost per prisoner per year,
Alameda,3598.0,3283.0,3472.0,126.0,375.0,573.0,2399.0,251.0,3233.0,237.0,50.0,11.0,3.0,625.0,134.0,491.0,683.0,666.0,17.0,70.0,152.0,412.0,49.0,471.0,103.0,22.0,2275.0,1008.0,3010.0,273.0,51195.00000000003,11898.999999999996,39296.00000000003,11852.999999999993,3004.0,3045.0,3552.0,9416.999999999993,2436.0,2969.0000000000005,2519.999999999999,5251.0,1112.9999999999998,1539357.0,375244.0,234771.0,133487.0,333860.0,1077362.0,530094.8651197713,547267.1348802287,56398.0,
Alpine,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,7.999999999999998,32.0,22.0,5.0,8.0,7.0,20.0,2.0,15.0,2.0,0.0,5.0,1106.0,601.0,35.0,0.0,143.0,779.0,413.7981691514884,365.2018308485116,,
Amador,126.0,84.0,123.0,3.0,84.0,15.0,10.0,17.0,76.0,17.0,17.0,14.0,1.0,54.0,13.0,41.0,46.0,42.0,4.0,34.0,5.0,2.0,5.0,25.0,7.0,6.0,46.0,38.0,71.0,13.0,597.9999999999999,130.0,467.9999999999999,460.0,93.0,58.0,116.0,315.0,145.0,346.00000000000006,61.999999999999986,25.0,27.000000000000007,36471.0,19696.0,3495.0,882.0,1336.0,25409.0,14318.866858951771,11090.133141048229,,
Butte,931.0,593.0,880.0,51.0,623.0,144.0,115.0,49.0,583.0,136.0,122.0,59.0,8.0,151.0,42.0,109.0,315.0,289.0,26.0,216.0,41.0,40.0,18.0,148.0,53.0,55.0,447.0,146.0,530.0,63.0,4182.999999999999,684.0000000000003,3498.999999999999,2611.0000000000005,630.0,585.0,1000.0,1932.0,679.0000000000006,2066.000000000001,276.99999999999994,149.0,119.0,221056.0,113539.0,21323.0,2314.0,13710.0,150886.0,75777.85315404626,75108.14684595374,,
Calaveras,93.0,69.0,88.0,5.0,69.0,17.0,1.0,6.0,56.0,12.0,9.0,4.0,0.0,17.0,1.0,16.0,37.0,35.0,2.0,31.0,5.0,0.0,1.0,9.0,5.0,7.0,37.0,32.0,59.0,10.0,789.9999999999998,101.0,688.9999999999998,532.0,149.0,100.0,150.0,382.0,150.0,457.99999999999994,45.999999999999986,9.0,19.0,45683.0,25417.0,3001.0,237.0,1573.0,30228.0,15129.587752451987,15098.412247548013,,
Colusa,62.0,61.0,57.0,5.0,29.0,28.0,3.0,2.0,46.0,11.0,2.0,0.0,0.0,8.0,3.0,5.0,14.0,12.0,2.0,7.0,6.0,1.0,0.0,9.0,2.0,1.0,41.0,20.0,50.0,11.0,407.99999999999994,45.999999999999986,361.99999999999994,327.0,56.0,48.0,80.0,239.0,88.0,174.00000000000006,111.0,25.000000000000004,17.0,21472.0,5721.0,7348.0,114.0,522.0,13705.0,7051.924725184333,6653.075274815667,,
Contra Costa,1770.0,1451.0,1719.0,51.0,447.0,358.0,845.0,120.0,1498.0,151.0,57.0,6.0,1.0,319.0,83.0,236.0,382.0,370.0,12.0,110.0,85.0,164.0,23.0,241.0,79.0,16.0,1140.0,311.0,1280.0,171.0,26772.999999999985,4382.999999999998,22389.999999999985,10360.0,2204.0,2945.0,3200.0,8187.0,2173.0,4047.0,2041.0000000000005,3644.9999999999986,626.9999999999998,1069607.0,353197.0,168905.0,64490.0,133738.0,720330.0,352073.2843003132,368256.7156996868,,
Del Norte,129.0,92.0,122.0,7.0,92.0,10.0,8.0,19.0,78.0,20.0,14.0,3.0,2.0,18.0,7.0,11.0,49.0,45.0,4.0,35.0,2.0,1.0,11.0,18.0,13.0,8.0,48.0,44.0,75.0,17.0,644.9999999999998,155.0,489.9999999999997,440.0,138.0,70.0,136.0,319.0,121.0,358.0000000000001,23.0,9.0,50.0,28462.0,12699.0,3738.0,1105.0,2327.0,19869.0,11620.674154994442,8248.325845005558,,
El Dorado,388.0,374.0,365.0,23.0,297.0,50.0,19.0,22.0,263.0,60.0,38.0,18.0,0.0,100.0,17.0,83.0,132.0,125.0,7.0,99.0,17.0,4.0,12.0,67.0,20.0,22.0,181.0,193.0,321.0,53.0,2350.0000000000005,444.0000000000001,1906.0000000000002,1749.0,442.0,311.0,529.0,1308.0,441.0,1457.0000000000002,177.0,62.000000000000014,53.00000000000001,182845.0,98843.0,14267.0,879.0,8903.0,122892.0,61629.52461615053,61262.47538384947,,
Fresno,3828.0,2791.0,3649.0,179.0,772.0,1947.0,828.0,281.0,2712.0,524.0,243.0,146.0,10.0,1078.0,207.0,871.0,1300.0,1211.0,89.0,256.0,762.0,217.0,65.0,695.0,239.0,117.0,1900.0,891.0,2517.0,274.0,31473.99999999999,5103.999999999997,26369.999999999993,19237.0,3661.0,3357.0,4677.0,16031.0,3206.0,4838.000000000001,10749.000000000007,2538.999999999999,1111.0000000000007,948790.0,208472.0,293892.0,30644.0,70997.0,604005.0,305076.7851470614,298928.2148529386,,
Glenn,102.0,89.0,99.0,3.0,52.0,37.0,4.0,9.0,63.0,13.0,14.0,4.0,2.0,26.0,2.0,24.0,30.0,29.0,1.0,14.0,12.0,1.0,3.0,15.0,4.0,5.0,66.0,23.0,77.0,12.0,543.0000000000005,78.0,465.0000000000004,402.0,108.0,96.0,73.0,317.0,85.0,236.0,127.00000000000001,9.000000000000004,29.999999999999993,28136.0,10108.0,6621.0,126.0,1041.0,17896.0,9128.133433549823,8767.866566450177,,
Humboldt,401.0,369.0,381.0,20.0,260.0,33.0,21.0,87.0,304.0,40.0,36.0,12.0,4.0,49.0,6.0,43.0,131.0,119.0,12.0,82.0,7.0,8.0,34.0,76.0,23.0,14.0,247.0,122.0,319.0,50.0,2967.999999999999,389.00000000000017,2578.999999999999,2369.0,462.0,430.0,840.0,1777.0,592.0,1915.0000000000005,165.99999999999997,85.99999999999999,202.00000000000006,134644.0,75699.0,8958.0,1143.0,10290.0,96090.0,49127.92270925124,46962.07729074876,,
Imperial,322.0,496.0,310.0,12.0,47.0,227.0,31.0,17.0,210.0,44.0,49.0,19.0,1.0,61.0,14.0,47.0,103.0,100.0,3.0,18.0,66.0,10.0,9.0,46.0,20.0,22.0,323.0,173.0,445.0,51.0,3775.0000000000027,499.99999999999994,3275.0000000000027,2638.0,559.0,705.0,886.0,2087.0,551.0,505.0,1902.999999999999,152.00000000000003,77.99999999999999,178204.0,16574.0,90027.0,4857.0,2705.0,114163.0,59633.84502801027,54529.15497198973,,
Inyo,45.0,73.0,42.0,3.0,26.0,5.0,2.0,12.0,36.0,4.0,4.0,0.0,0.0,5.0,1.0,4.0,6.0,6.0,0.0,3.0,1.0,0.0,2.0,2.0,3.0,1.0,37.0,36.0,64.0,9.0,254.00000000000009,83.0,171.00000000000009,223.0,72.0,42.0,67.0,174.0,49.0,121.99999999999999,38.0,0.0,62.99999999999999,18904.0,8386.0,2231.0,85.0,1693.0,12395.0,6385.090538398707,6009.909461601293,,
Kern,3695.0,2593.0,3544.0,151.0,1066.0,1682.0,863.0,84.0,2178.0,617.0,531.0,266.0,14.0,1386.0,402.0,984.0,1251.0,1186.0,65.0,380.0,609.0,242.0,20.0,514.0,280.0,184.0,2029.0,564.0,2299.0,294.0,28719.00000000003,4975.9999999999945,23743.000000000033,13935.0,3665.0,3801.0,3720.0,11217.0,2718.0,5422.000000000001,6210.0,2065.9999999999986,237.00000000000009,856282.0,225853.0,259245.0,30549.0,34632.0,550279.0,289122.7395227038,261156.2604772962,,
Kings,1234.0,491.0,1175.0,59.0,293.0,653.0,222.0,66.0,769.0,158.0,177.0,80.0,3.0,437.0,137.0,300.0,392.0,364.0,28.0,93.0,222.0,56.0,21.0,202.0,58.0,62.0,266.0,225.0,411.0,80.0,2617.0000000000005,766.9999999999998,1850.0000000000007,2271.0,535.0,375.0,585.0,1702.0,569.0,728.0000000000001,1170.0000000000002,253.0,120.0,150718.0,38012.0,47770.0,9194.0,6546.0,101522.0,60903.734996388404,40618.265003611596,,
Lake,301.0,293.0,291.0,10.0,189.0,38.0,35.0,39.0,197.0,41.0,32.0,11.0,1.0,67.0,13.0,54.0,93.0,89.0,4.0,56.0,13.0,9.0,15.0,52.0,11.0,14.0,163.0,130.0,255.0,38.0,1612.0,376.0,1236.0,1152.0,327.0,165.0,394.0,897.0,255.0,872.0000000000001,152.0,66.0,62.00000000000001,64394.0,33093.0,6905.0,803.0,2830.0,43631.0,22028.73372949409,21602.26627050591,,
Lassen,111.0,122.0,103.0,8.0,68.0,22.0,10.0,11.0,70.0,17.0,11.0,4.0,0.0,34.0,15.0,19.0,26.0,24.0,2.0,18.0,6.0,1.0,1.0,9.0,6.0,6.0,53.0,69.0,100.0,22.0,431.9999999999996,132.00000000000006,299.99999999999955,338.0,106.0,77.0,67.0,248.0,90.0,277.0,29.0,13.999999999999998,18.0,33378.0,16540.0,4550.0,2941.0,1594.0,25625.0,17510.93230985423,8114.06769014577,,
Los Angeles,46309.0,18154.0,44195.0,2114.0,5150.0,21080.0,17654.0,2425.0,32817.0,6049.0,4374.0,1762.0,198.0,15377.0,3241.0,12136.0,10610.0,9845.0,765.0,1429.0,5094.0,3672.0,415.0,4654.0,2544.0,1749.0,9849.0,8305.0,15723.0,2431.0,195132.00000000026,44555.99999999994,150576.00000000032,104203.00000000016,26940.0,25610.0,32796.0,82997.00000000016,21206.0,21190.00000000003,50818.00000000001,27217.000000000025,4977.999999999999,9945031.0,1954470.0,3157192.0,562391.0,1126076.0,6800129.0,3376509.767693989,3423619.232306011,,
Madera,523.0,447.0,467.0,56.0,143.0,275.0,78.0,27.0,354.0,64.0,70.0,34.0,1.0,188.0,44.0,144.0,184.0,168.0,16.0,55.0,109.0,11.0,9.0,96.0,39.0,19.0,343.0,104.0,390.0,57.0,3835.0,934.0000000000001,2901.0,1704.0,401.0,376.0,439.0,1395.0,309.0,522.0,999.0000000000003,130.00000000000003,52.99999999999999,151329.0,38006.0,51227.0,4108.0,4352.0,97693.0,46508.404534270776,51184.595465729224,,
Marin,337.0,253.0,327.0,10.0,154.0,70.0,92.0,21.0,222.0,61.0,22.0,11.0,0.0,119.0,47.0,72.0,82.0,75.0,7.0,36.0,21.0,21.0,4.0,43.0,16.0,3.0,188.0,65.0,218.0,35.0,3686.000000000001,489.9999999999998,3196.000000000001,1661.0,455.0,427.0,496.0,1283.0,378.0,923.0000000000001,351.0,316.00000000000017,71.00000000000001,253991.0,125051.0,28152.0,5743.0,14946.0,173892.0,86204.13290029528,87687.86709970472,,
Mariposa,50.0,39.0,49.0,1.0,40.0,3.0,1.0,6.0,35.0,7.0,1.0,1.0,0.0,17.0,6.0,11.0,11.0,11.0,0.0,7.0,2.0,0.0,2.0,4.0,3.0,1.0,17.0,22.0,34.0,5.0,254.00000000000006,71.00000000000001,183.00000000000006,188.0,62.0,24.0,51.0,131.0,57.0,145.0,25.0,3.0,14.999999999999998,18361.0,10140.0,1064.0,100.0,824.0,12128.0,6181.978100425474,5946.021899574526,,
Mendocino,317.0,255.0,301.0,16.0,188.0,55.0,18.0,56.0,228.0,20.0,30.0,4.0,1.0,43.0,4.0,39.0,105.0,96.0,9.0,68.0,15.0,3.0,19.0,58.0,14.0,10.0,157.0,98.0,222.0,33.0,1405.0000000000002,357.99999999999983,1047.0000000000005,1458.0,372.0,277.0,514.0,1124.0,334.0,1047.9999999999998,194.99999999999994,48.99999999999999,165.99999999999997,88568.0,42687.0,12359.0,437.0,4733.0,60216.0,30577.57153662098,29638.42846337902,,
Merced,838.0,802.0,811.0,27.0,196.0,448.0,124.0,70.0,584.0,113.0,58.0,21.0,1.0,242.0,41.0,201.0,283.0,268.0,15.0,68.0,153.0,37.0,25.0,138.0,58.0,30.0,589.0,213.0,742.0,60.0,7528.0,1832.999999999999,5695.000000000001,3385.0,819.0,801.0,963.0,2704.0,681.0,1057.0,1765.0000000000005,388.99999999999994,174.0,261062.0,58348.0,86013.0,5885.0,14424.0,164670.0,83537.523859978,81132.476140022,,
Modoc,17.0,29.0,16.0,1.0,9.0,3.0,1.0,4.0,13.0,1.0,2.0,1.0,0.0,4.0,0.0,4.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,18.0,11.0,25.0,4.0,166.0,69.00000000000001,97.0,227.0,71.0,31.0,42.0,149.0,78.0,182.99999999999997,22.0,1.0000000000000002,21.0,9431.0,4993.0,806.0,56.0,349.0,6204.0,3112.099226493437,3091.900773506563,,
Mono,19.0,26.0,18.0,1.0,7.0,9.0,0.0,3.0,12.0,4.0,0.0,0.0,0.0,7.0,2.0,5.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,12.0,14.0,25.0,1.0,203.99999999999994,43.999999999999986,159.99999999999994,93.0,32.0,20.0,24.0,75.0,18.0,70.00000000000001,13.0,3.0,6.999999999999999,14377.0,7546.0,2444.0,29.0,403.0,10422.0,5604.5021176589225,4817.4978823410775,,
