County,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,"Imprisonments for 3rd strikes (June 30, 2013)","Imprisonments for 2nd strikes (June 30, 2013)","New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,"Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center",Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), July 1, 2013","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3","Male population, age 18-69","Female population, age 18-69","At Legislative Analyst-estimated cost per prisoner per year, 2013-14",
Alameda,3651.0,3351.0,3524.0,127.0,342.0,594.0,2427.0,288.0,3321.0,209.0,33.0,5.0,3.0,630.0,133.0,497.0,687.0,661.0,26.0,64.0,154.0,411.0,58.0,484.0,90.0,22.0,2605.0,746.0,3045.0,306.0,71872.0,11739.0,60133.0,12501.000000000004,2817.0000000000005,3201.0000000000014,4218.0,9916.0,2585.0000000000027,3323.0000000000005,2667.999999999998,5358.000000000004,1152.0,1574688.0,379430.0,237915.0,132186.0,343698.0,1093229.0,537699.0,555530.0,59919.0,
Alpine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,6.0,33.0,12.0,2.0,0.0,3.000000000000001,12.0,0.0,8.0,2.0,1.0,1.0,1164.0,603.0,55.0,0.0,177.0,835.0,442.0,393.0,,
Amador,156.0,92.0,152.0,4.0,102.0,28.0,9.0,17.0,84.0,17.0,29.0,18.0,2.0,53.0,11.0,42.0,61.0,56.0,5.0,43.0,11.0,5.0,2.0,24.0,12.0,12.0,42.0,50.0,72.0,20.0,898.0,100.0,798.0,507.0000000000001,80.99999999999997,66.00000000000003,175.00000000000006,340.00000000000006,167.00000000000003,371.0000000000001,65.0,23.0,47.99999999999999,37582.0,19648.0,3460.0,889.0,1468.0,25465.0,14630.0,10835.0,,
Butte,973.0,589.0,920.0,53.0,638.0,150.0,118.0,67.0,609.0,133.0,129.0,65.0,8.0,144.0,42.0,102.0,341.0,307.0,34.0,232.0,45.0,38.0,26.0,143.0,57.0,68.0,369.0,220.0,512.0,77.0,6857.0,634.0,6223.0,2778.0000000000005,568.9999999999999,569.0000000000003,1114.0000000000002,2076.0,702.0000000000003,2194.999999999999,301.0,160.0,122.00000000000001,222113.0,115581.0,20797.0,2207.0,13468.0,152053.0,76540.0,75513.0,,
Calaveras,102.0,72.0,96.0,6.0,77.0,17.0,1.0,7.0,57.0,25.0,11.0,5.0,1.0,14.0,1.0,13.0,43.0,38.0,5.0,36.0,4.0,1.0,2.0,13.0,13.0,8.0,39.0,33.0,63.0,9.0,1210.0,130.0,1080.0,557.9999999999999,132.99999999999994,104.99999999999999,155.00000000000003,410.9999999999999,147.00000000000003,479.99999999999983,51.99999999999999,7.999999999999999,18.0,45116.0,24942.0,3067.0,257.0,1679.0,29945.0,14997.0,14948.0,,
Colusa,66.0,69.0,63.0,3.0,30.0,29.0,5.0,2.0,48.0,10.0,2.0,1.0,0.0,8.0,2.0,6.0,23.0,23.0,0.0,10.0,10.0,3.0,0.0,8.0,7.0,1.0,45.0,24.0,55.0,14.0,578.0,43.0,535.0,339.0,58.0,52.00000000000001,46.000000000000014,249.0,90.00000000000001,160.00000000000006,117.0,36.0,26.000000000000007,21972.0,5505.0,7635.0,122.0,630.0,13892.0,7157.0,6735.0,,
Contra Costa,1777.0,1535.0,1724.0,53.0,443.0,365.0,838.0,131.0,1523.0,144.0,51.0,9.0,0.0,312.0,78.0,234.0,358.0,338.0,20.0,99.0,94.0,140.0,25.0,220.0,71.0,24.0,1201.0,334.0,1378.0,157.0,35312.0,3961.0,31351.0,10920.999999999989,2109.0000000000023,3037.9999999999964,3538.0,8576.999999999993,2343.999999999997,4518.000000000002,2171.999999999999,3584.000000000001,646.9999999999999,1089243.0,346593.0,175201.0,66047.0,140817.0,728658.0,356140.0,372518.0,,
Del Norte,127.0,81.0,121.0,6.0,81.0,14.0,10.0,22.0,80.0,15.0,9.0,2.0,1.0,17.0,6.0,11.0,34.0,32.0,2.0,20.0,4.0,0.0,10.0,18.0,5.0,5.0,38.0,43.0,61.0,20.0,764.0,175.0,589.0,588.0000000000001,204.0,82.00000000000004,175.00000000000003,403.0000000000001,185.0,449.0,32.0,11.0,96.0,27507.0,12603.0,3698.0,1034.0,2500.0,19835.0,11672.0,8163.0,,
El Dorado,399.0,347.0,370.0,29.0,305.0,50.0,17.0,27.0,260.0,71.0,39.0,16.0,1.0,103.0,16.0,87.0,123.0,112.0,11.0,99.0,15.0,3.0,6.0,50.0,34.0,14.0,196.0,151.0,291.0,56.0,3662.0,390.0,3272.0,1925.9999999999995,431.00000000000034,320.0000000000001,620.9999999999995,1413.9999999999998,511.9999999999999,1589.0000000000007,184.99999999999997,71.99999999999997,80.0,182228.0,101271.0,14295.0,913.0,8806.0,125285.0,62932.0,62353.0,,
Fresno,4111.0,2918.0,3927.0,184.0,820.0,2124.0,878.0,289.0,2886.0,551.0,266.0,185.0,11.0,1186.0,193.0,993.0,1556.0,1453.0,103.0,307.0,888.0,281.0,80.0,753.0,328.0,181.0,2003.0,915.0,2690.0,228.0,41566.0,4868.0,36698.0,21412.000000000022,3643.9999999999986,3462.9999999999995,5495.000000000001,16732.000000000025,4679.999999999998,5467.000000000002,11741.999999999998,2982.9999999999986,1220.0000000000002,959455.0,207966.0,300883.0,30839.0,74063.0,613751.0,309208.0,304543.0,,
