County,"Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 2010 Census",Adult poverty rate as percent of state adult poverty rate,,Raw numbers,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other/unknown race",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced"
Alameda,4251.7446126074965,647.7443098764745,3604.0003027310217,1224.7851634492379,278.1672581146421,286.027131923013,427.5048604736884,1978.2220832490298,497.4983043865786,902.7075936440073,1264.4773044107487,4327.506539125453,372.8202386504533,0.10808363413811624,0.869510509142086,,Alameda,3754.0,2729.0,3630.999999999999,123.00000000000001,351.00000000000006,614.0,2514.000000000001,274.9999999999991,3171.0,351.0,118.0,43.0,10.0,607.0,127.0,480.0,738.0,706.0,32.0,58.0,152.0,479.0,49.0,497.0,122.0,23.0,2172.0
Alpine,2405.498281786942,343.64261168384877,2061.855670103093,1197.6047904191616,479.0419161676647,0.0,479.0419161676647,2036.1990950226245,254.4529262086514,1001.669449081803,0.0,****,1666.6666666666667,0.14342629482071714,1.1538349133834764,,Alpine,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,1895.9624011963256,216.29993591113012,1679.6624652851956,2134.1943613167427,283.5092140494566,208.6942825641833,681.2096393132776,2548.294286888615,1574.3656232635674,2039.247835220577,1687.6430205949657,3149.6062992125985,3815.261044176707,0.08854038641168084,0.7122891183514328,,Amador,145.0,79.0,142.0,3.0,80.0,33.0,15.0,17.0,84.0,12.0,21.0,4.0,3.0,61.0,12.0,49.0,43.0,40.0,3.0,30.0,8.0,2.0,3.0,16.0,10.0,10.0,43.0
Butte,3268.9443577277952,303.23495341899644,2965.7094043087986,1898.9027551305455,396.2814507798949,409.2742852316947,736.6937134170505,2752.3290424832812,1031.1304438970703,1956.3387781041206,1492.467702066135,7829.977628635347,1085.933540867299,0.1995118390101098,1.6050315304523675,,Butte,1018.0,557.0,950.9999999999997,67.0,685.0,147.0,123.00000000000001,63.0,612.0,170.0,128.0,53.0,13.0,152.0,39.0,113.0,394.0,357.0,37.0,290.0,46.0,37.0,21.0,181.0,60.0,77.0,282.0
Calaveras,2448.3448122639415,251.05532103976893,2197.2894912241723,1820.2426990265371,580.0773436458195,256.7008934524603,456.7275636751567,2577.2509323388385,1061.415220293725,1900.6670417101984,1236.9172216936252,5019.305019305019,1236.7491166077739,0.08528908779973074,0.686133092658985,,Calaveras,86.0,83.0,81.0,5.0,69.0,10.0,0.0,7.0,54.0,17.0,4.0,1.0,0.0,17.0,2.0,15.0,34.0,32.0,2.0,28.0,2.0,0.0,4.0,19.0,5.0,3.0,43.0
Colusa,1761.5971814445095,180.6766339943087,1580.920547450201,2541.4679290951804,533.9218338435253,370.1858047981775,469.8512137823023,3714.4435238884284,1293.166789125643,2872.827081427264,1971.0738512735186,18699.18699186992,3560.371517027864,0.1183196821020193,0.9518574004884921,,Colusa,68.0,72.0,65.00000000000001,3.0,29.0,31.0,6.0,2.0,53.0,8.0,2.0,0.0,1.0,7.0,1.0,6.0,31.0,28.0,3.0,12.0,14.0,5.0,0.0,21.0,4.0,2.0,47.0
Contra Costa,3254.851163263233,331.09098561704474,2923.760177646188,1558.7786342181614,294.7321699216213,420.1760273676006,524.3742692590829,2498.795460964628,660.328920554094,1337.567276018937,1378.2060130863313,5570.646056877017,471.6105569266941,0.08506774974183849,0.6843524737064017,,Contra Costa,1840.0,1249.0,1770.9999999999995,69.0,463.0,366.0,869.0,142.0,1505.0,212.0,63.0,18.0,1.0,310.0,82.0,228.0,422.0,401.0,21.0,119.0,100.0,179.0,24.0,249.0,97.0,26.0,824.0
Del Norte,2995.1797475806748,607.1310299150016,2388.0487176656734,2936.1229027693553,864.1600970285022,535.6781888012937,904.5886395795433,3573.571000085697,2019.9531962064293,3497.119078104994,754.7169811320755,678.2945736434109,4274.509803921569,0.21115800580321814,1.6987225364828369,,Del Norte,118.0,85.0,113.00000000000001,5.0,82.00000000000003,11.0,5.0,19.99999999999997,73.0,18.0,8.0,0.0,3.0,29.0,7.0,22.0,41.0,38.0,3.0,30.0,1.0,1.0,9.0,20.0,7.0,6.0,41.0
El Dorado,1945.0750721109025,224.28410050559887,1720.790971605304,1570.8431146301673,346.1584371145506,259.41988620538734,572.1561293916366,2346.4359839662848,788.1946664961309,1631.4181473022275,1359.103947548149,5926.724137931034,781.5989280928985,0.07673371467447253,0.6173068832021698,,El Dorado,393.0,366.0,367.00000000000006,26.000000000000004,315.0,41.0,22.0,15.0,262.0,76.0,26.0,12.0,2.0,98.0,11.0,87.0,118.0,108.0,10.0,101.0,11.0,5.0,1.0,64.0,27.0,9.0,182.0
Fresno,3826.429003345365,469.19725684190104,3357.231746503464,3236.4120075855667,642.2639603543148,455.1983490615354,783.1663468482741,4795.111017452441,1654.063199929987,2468.3614538050692,3585.024039946296,9225.563429738875,1439.6397589563605,0.19428528587627802,1.5629849901718202,,Fresno,4546.0,2612.0,4360.999999999999,185.00000000000003,886.9999999999999,2382.0,949.0000000000001,328.0,2981.0,758.0,309.0,186.0,10.0,1535.0,181.0,1354.0,1756.0,1661.0,95.0,337.0,1018.0,305.0,96.0,860.0,363.0,208.0,1736.0
Glenn,2261.690023588178,433.6062161787151,1828.0838074094631,1856.3005022930772,480.4542476523259,333.0421489408168,431.3168814151561,2775.1094033514782,894.1544651838605,1931.458003169572,1637.695733371642,8275.862068965516,1705.5655296229804,0.16606674394484777,1.3359726496107034,,Glenn,106.0,106.0,101.0,5.0,64.0,32.0,1.0,9.0,59.0,23.0,9.0,2.0,0.0,33.0,2.0,31.0,19.0,15.0,4.0,15.0,4.0,0.0,0.0,7.0,6.0,3.0,70.0
Humboldt,3922.0645890833885,360.812087576905,3561.252501506484,2362.8569653544287,480.44068007206613,406.9249725610387,794.1767276191265,3465.9482234736456,1209.4382784037957,2423.263327948304,1198.8335673398856,7650.765076507651,2394.761459307764,0.19115029930431968,1.5377646708138148,,Humboldt,360.0,263.0,340.0,20.000000000000004,231.00000000000003,28.0,16.0,85.0,272.0,47.0,18.0,7.0,1.0,43.0,4.0,39.0,84.0,79.0,5.0,50.0,7.0,5.0,22.0,44.0,17.0,9.0,166.0
Imperial,3347.6305625157283,318.9522173470616,3028.678345168667,2198.1010990505497,460.7002303501152,413.95020697510347,790.5003952501976,3314.432403450909,973.296730721238,2835.0039972941395,2029.3679141058233,3680.8463742561166,1824.212271973466,0.18969598464106116,1.5260650097745978,,Imperial,349.0,468.0,336.0000000000001,13.0,47.00000000000001,256.0,34.0,12.0,213.0,66.0,40.0,5.0,0.0,92.0,11.0,81.0,139.0,130.0,9.0,19.0,109.0,7.0,4.0,67.0,36.0,20.0,299.0
Inyo,2194.206008583691,568.6695278969956,1625.5364806866953,1627.686472819216,640.0126422250316,347.66118836915297,300.25284450063214,2280.7286086024797,930.9162175404213,1088.7772194304857,1601.6427104722793,2197.802197802198,4176.07223476298,0.11662870159453304,0.9382538116219774,,Inyo,51.0,66.0,47.0,4.0,24.0,5.0,0.0,22.0,39.0,4.0,5.0,1.0,0.0,9.0,1.0,8.0,17.0,15.0,2.0,6.0,2.0,1.0,8.0,12.0,2.0,2.0,24.0
Kern,3739.0262866746666,509.7945636375469,3229.2317230371195,2577.496071425436,671.9398818355003,561.5008471674757,781.6766014976868,3784.394549888665,1217.166567694853,2684.6243421587124,2311.035075181728,6280.046248402604,696.2873433353478,0.17941685787263517,1.4433715583448576,,Kern,3758.0,2482.0,3586.000000000001,172.00000000000003,1075.0,1770.0000000000002,815.9999999999999,97.0,2049.0,777.0,477.0,223.0,10.0,1515.0,272.0,1243.0,1422.0,1331.0,91.0,455.0,695.0,250.0,22.0,518.0,374.0,289.0,1366.0
Kings,2792.9930761092287,466.05686429441937,2326.936211814809,1952.6536553599815,458.7155963302753,333.26310547585757,527.6665836701078,2460.6425188787916,1195.190610239038,1504.3944152656443,1475.8583484258795,2583.203171933197,7736.207989854153,0.1597964188448125,1.2855291794804242,,Kings,1241.0,526.0,1156.0,85.0,294.0,666.0,220.0,61.0,760.0,143.0,166.0,84.0,7.0,553.0,96.0,457.0,437.0,389.0,48.0,100.0,258.0,61.0,18.0,202.0,66.0,89.0,486.0
Lake,3295.0781791573595,472.9261341754602,2822.1520449818995,2917.1822723314544,646.225766533755,391.86030523855356,1209.9546267014987,4383.574089215953,1424.3433222345543,2818.5066535239034,2791.706193251118,8070.61790668348,2931.3790806129246,0.19349293100351525,1.5566106589020485,,Lake,315.0,272.0,307.00000000000006,8.0,207.0,36.0,33.0,39.0,204.0,32.0,38.0,17.0,0.0,62.0,7.0,55.0,113.0,111.0,2.0,74.0,15.0,13.0,11.0,53.0,13.0,24.0,125.0
