County,"Total incarcerated (state prison + local jails), adult females","Part I crime rate per 100,000 population (offenses reported to police)","Violent crime rate per 100,000 population","Property crime rate per 100,000 population","Adult felony arrest rate per 100,000 population age 18-69",Violent crime arrest rate,Property crime arrest rate,Drug offense arrest rate,Male felony arrest rate,Female felony arrest rate,"White, not Latino, felony arrest rate",Latino felony arrest rate,African American felony arrest rate,Asian/other felony arrest rate,"Percent of adults ages 18-64 living in households with incomes below poverty guidelines, 2011-2015 average",Adult poverty rate as percent of state adult poverty rate,,Raw numbers,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black",New felon and parole violator admissions to prison who are under age 35 (2014),New felon and parole violator admissions to prison who are age 35 or older (2014),"New felon and parole violator admissions to prison, Asian/all other/unknown race",New felon and parole violator admissions to prison for violent offenses
Alameda,338.0,4302.580943507942,597.5875466681978,3704.993396839744,938.0245590908968,280.4504735731769,234.84149987345748,168.84263204915754,1495.1649529252672,401.22985290579965,598.3515401765522,987.7468370576464,3618.834181889284,265.0004184217133,0.10808363413811624,0.869510509142086,,Alameda,3714.0,2584.0,3607.0,107.0,346.0,631.0,2469.0,268.0,3124.0,331.0,123.0,43.0,8.0,585.0,127.0,458.0,750.0,730.0,20.0,74.0,151.0,470.0,437.0,300.0,55.0,456.0
Alpine,0.0,3802.9386343993083,777.8738115816767,3025.064822817632,1686.7469879518073,722.8915662650603,361.44578313253015,120.48192771084338,2974.828375286041,254.4529262086514,2037.3514431239391,0.0,****,1104.9723756906076,0.14342629482071714,1.1538349133834764,,Alpine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Amador,19.9,1838.452055528756,225.11657822801095,1613.335477300745,1434.0306504353307,342.74908403262026,200.92187684670844,216.68045542292086,1806.1161661079566,928.8500835965075,1356.768424298489,1193.5208866155158,2024.7469066366705,2636.7831245880025,0.08854038641168084,0.7122891183514328,,Amador,128.0,87.41,127.0,1.0,64.0,31.0,13.0,20.0,86.0,9.0,11.0,1.0,0.0,55.0,14.0,41.0,35.0,34.0,1.0,25.0,5.0,1.0,17.0,26.0,4.0,21.0
Butte,131.0,3708.7220263590702,346.7594924296787,3361.962533929391,1395.330859616574,366.54813440527727,276.36054421768705,432.9004329004329,2128.1213297247614,648.8946684005201,1464.9507119386637,995.5903077692412,6595.838866755202,609.4104308390023,0.1995118390101098,1.6050315304523675,,Butte,896.0,581.0,843.0,53.0,591.0,141.0,98.0,66.0,572.0,150.0,99.0,21.0,6.0,142.0,39.0,103.0,336.0,310.0,26.0,229.0,51.0,30.0,197.0,197.0,26.0,167.0
Calaveras,26.0,2086.9061671752156,287.3115214147308,1799.5946457604846,1213.0050044741988,500.44741987869946,155.76840221389983,119.31196765319989,1873.923983578334,550.7265609448609,1247.1928136028232,1037.5343301800426,2661.596958174905,824.9852681202121,0.08528908779973074,0.686133092658985,,Calaveras,88.0,90.0,83.0,5.0,72.0,10.0,0.0,6.0,55.0,13.0,6.0,1.0,1.0,13.0,2.0,11.0,51.0,47.0,4.0,40.0,7.0,1.0,12.0,22.0,3.0,24.0
Colusa,12.0,1899.3309685240895,220.01706254770778,1679.3139059763816,1987.359550561798,400.2808988764045,308.9887640449438,126.40449438202246,2939.975500204165,972.0005802988538,2517.7887246852765,1364.7176662075874,12195.121951219511,3235.7473035439134,0.1183196821020193,0.9518574004884921,,Colusa,61.0,88.0,60.0,1.0,27.0,31.0,2.0,1.0,46.0,8.0,3.0,0.0,1.0,6.0,1.0,5.0,18.0,18.0,0.0,9.0,9.0,0.0,15.0,16.0,0.0,8.0
Contra Costa,260.0,3239.5544023451002,339.15847869336244,2900.3959236517376,1144.8292435448986,318.2825558730074,364.3427411818109,158.340231235481,1861.70430790671,459.974155822119,886.1373062935196,1087.2643147563406,4373.381744590934,365.03643703121463,0.08506774974183849,0.6843524737064017,,Contra Costa,1858.0,1360.0,1796.0,62.0,461.0,376.0,871.0,150.0,1540.0,190.0,71.0,18.0,1.0,311.0,79.0,232.0,453.0,432.0,21.0,122.0,97.0,198.0,243.0,179.0,36.0,284.0
Del Norte,23.0,2706.5894760131273,523.6181275120764,2182.9713485010507,1601.8537175095707,805.9641345960106,251.86379206125326,241.78924037880313,2060.0051286434737,944.4376303201276,1943.7751004016066,451.88729399255715,387.97284190106694,2108.087389804523,0.21115800580321814,1.6987225364828369,,Del Norte,109.0,102.0,104.0,5.0,68.0,14.0,5.0,22.0,74.0,13.0,10.0,1.0,1.0,29.0,7.0,22.0,41.0,37.0,4.0,22.0,8.0,0.0,21.0,20.0,11.0,27.0
El Dorado,91.0,1905.0999235557497,184.55826143933604,1720.5416621164136,1075.507614213198,354.53680203045684,190.35532994923858,176.07868020304568,1623.7561206760383,522.5426158993149,1062.0817991051986,1086.087420042644,6150.583244962884,681.2438193605099,0.07673371467447253,0.6173068832021698,,El Dorado,396.0,393.0,372.0,24.0,314.0,38.0,27.0,17.0,264.0,74.0,33.0,4.0,1.0,98.0,12.0,86.0,136.0,126.0,10.0,110.0,14.0,5.0,48.0,70.0,7.0,74.0
Fresno,479.0,3949.0196118473655,533.8196388038274,3415.1999730435373,1685.9747095856574,630.6729612262327,311.4473571421768,139.37348601979167,2684.6314621405804,673.0637028415758,1171.3682743131524,1927.5385348800255,4848.084959311277,771.2416600554045,0.19428528587627802,1.5629849901718202,,Fresno,4134.0,2584.0,3964.0,170.0,771.0,2217.0,876.0,270.0,2874.0,681.0,254.0,75.0,7.0,1335.0,188.0,1147.0,1435.0,1336.0,99.0,278.0,834.0,255.0,973.0,783.0,68.0,795.0
