County,Total adult population in prison (number) as of December 31,"County adult jail incarcerations, average daily population, December",Men imprisoned (total institution population),Women imprisoned,"White, not Latino, population imprisoned",Latino population imprisoned,Black population imprisoned,Asian/other population imprisoned,Imprisonments for violent felonies,Imprisonments for property felonies,Imprisonments for drug felonies,Imprisonments for drug possession offenses,Imprisonments for marijuana offenses,Imprisonments for strike offenses,Imprisonments for 3rd strikes,Imprisonments for 2nd strikes,"New felon and parole violator admissions to prison, all","New felon and parole violator admissions to prison, male","New felon and parole violator admissions to prison, female","New felon and parole violator admissions to prison, White, not Latino","New felon and parole violator admissions to prison, Latino","New felon and parole violator admissions to prison, Black","New felon and parole violator admissions to prison, Asian/all other/unknown race",New felon and parole violator admissions to prison for violent offenses,New felon and parole violator admissions to prison for property offenses,New felon and parole violator admissions to prison for drug offenses,"Jailed, unsentenced","Jailed, sentenced",Men jailed,Women jailed,"Part I crimes reported to police (number), as defined by the Criminal Justice Statistics Center",Violent crimes reported,Property crimes reported,"Adult felony arrests, total (number)",Violent felony arrests,Property felony arrests,Drug felony arrests,Male felony arrests,Female felony arrests,"White, not Latino, felony arrests",Latino felony arrests,African American felony arrests,Asian/other felony arrests,"Total county population, all ages (number), July 1, 2016","White, not Latino population age 18-69",Latino population age 18-69,Black population age 18-69,Asian/other population age 18-69,"Total adult population, age 18-69, using Dept. of Finance table P-3","Male population, age 18-69","Female population, age 18-69","Estimated cost per prisoner per year, 2016-17"
Alameda,3502.0,2396.0,3405.0,97.0,303.0,605.0,2339.0,255.0,3218.0,175.0,25.0,10.0,0.0,573.0,129.0,444.0,621.0,607.0,14.0,62.0,124.0,398.0,37.0,392.0,97.0,32.0,2024.0,372.0,2150.0,246.0,69871.0,10127.0,59744.0,10378.0,3163.0,2690.0,1720.0,8173.0,2205.0,2163.0,2540.0,4641.0,1034.0,1637712.0,397211.0,253867.0,138102.0,359939.0,1149119.0,566879.0,582240.0,73694.0
Alpine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,6.0,34.0,13.0,5.0,1.0,0.0,12.0,1.0,7.0,1.0,0.0,5.0,1148.0,571.0,57.0,0.0,162.0,790.0,407.0,383.0,73694.0
Amador,123.0,81.03,118.0,5.0,74.0,23.0,10.0,16.0,77.0,13.0,9.0,1.0,0.0,55.0,15.0,40.0,45.0,39.0,6.0,31.0,6.0,2.0,6.0,16.0,13.0,2.0,44.19,36.84,64.83,16.2,761.0,92.0,669.0,368.0,81.0,59.0,63.0,261.0,107.0,266.0,40.0,22.0,40.0,37191.0,19480.0,3449.0,749.0,1332.0,25010.0,13987.0,11023.0,73694.0
Butte,951.0,560.0,888.0,63.0,646.0,148.0,103.0,54.0,647.0,142.0,73.0,18.0,6.0,150.0,41.0,109.0,339.0,308.0,31.0,246.0,41.0,36.0,16.0,174.0,67.0,28.0,314.0,246.0,482.0,78.0,8097.0,790.0,7307.0,2026.0,596.0,485.0,415.0,1537.0,489.0,1543.0,242.0,140.0,101.0,225125.0,113695.0,22146.0,2449.0,14300.0,152590.0,77219.0,75371.0,73694.0
Calaveras,74.0,95.0,69.0,5.0,59.0,7.0,1.0,7.0,50.0,8.0,3.0,1.0,0.0,12.0,2.0,10.0,25.0,24.0,1.0,20.0,2.0,2.0,1.0,10.0,4.0,3.0,51.0,44.0,75.0,20.0,834.0,178.0,656.0,418.0,157.0,48.0,92.0,318.0,100.0,299.0,68.0,11.0,40.0,44791.0,24108.0,3149.0,238.0,1637.0,29132.0,14509.0,14623.0,73694.0
Colusa,73.0,90.0,72.0,1.0,26.0,35.0,5.0,7.0,53.0,10.0,2.0,0.0,0.0,6.0,1.0,5.0,33.0,32.0,1.0,10.0,14.0,4.0,5.0,18.0,7.0,1.0,51.0,39.0,77.0,13.0,403.0,46.0,357.0,298.0,76.0,42.0,22.0,231.0,67.0,132.0,132.0,10.0,24.0,22408.0,5480.0,8065.0,105.0,589.0,14239.0,7326.0,6913.0,73694.0
Contra Costa,1899.0,1479.0,1833.0,66.0,453.0,408.0,893.0,145.0,1634.0,136.0,48.0,8.0,2.0,317.0,79.0,238.0,374.0,357.0,17.0,107.0,100.0,142.0,25.0,215.0,75.0,21.0,1181.0,298.0,1226.0,253.0,32834.0,3895.0,28939.0,8354.0,2335.0,2683.0,1027.0,6585.0,1769.0,2962.0,1994.0,2829.0,569.0,1129894.0,358911.0,185404.0,71185.0,150279.0,765779.0,376207.0,389572.0,73694.0
Del Norte,123.0,90.0,116.0,7.0,78.0,14.0,10.0,21.0,78.0,18.0,9.0,0.0,1.0,35.0,7.0,28.0,51.0,43.0,8.0,30.0,5.0,2.0,14.0,19.0,12.0,5.0,51.0,39.0,70.0,20.0,776.0,168.0,608.0,314.0,154.0,58.0,33.0,228.0,86.0,239.0,14.0,2.0,59.0,27040.0,11639.0,3291.0,765.0,2365.0,18060.0,10198.0,7862.0,73694.0
El Dorado,404.0,375.0,370.0,34.0,308.0,49.0,28.0,19.0,293.0,57.0,22.0,5.0,1.0,99.0,13.0,86.0,137.0,129.0,8.0,95.0,26.0,8.0,8.0,80.0,23.0,12.0,196.0,179.0,309.0,66.0,3431.0,389.0,3042.0,1288.0,421.0,262.0,135.0,961.0,327.0,1029.0,149.0,53.0,57.0,184180.0,99032.0,15064.0,932.0,9144.0,124172.0,62472.0,61700.0,73694.0
Fresno,4083.0,2778.0,3922.0,161.0,726.0,2189.0,878.0,290.0,3041.0,503.0,127.0,53.0,5.0,1308.0,192.0,1116.0,1436.0,1356.0,80.0,254.0,822.0,271.0,89.0,795.0,250.0,64.0,1926.0,852.0,2459.0,319.0,37765.0,5981.0,31784.0,9145.0,3913.0,1815.0,674.0,7441.0,1704.0,1990.0,5243.0,1414.0,498.0,989183.0,204999.0,319317.0,31963.0,76984.0,633263.0,318879.0,314384.0,73694.0
